data,海富通中小盘混合型证券投资基金(519026)
1,0.9980
2,1.0130
3,0.9910
4,0.9930
5,0.9810
6,0.9850
7,0.9720
8,0.9730
9,0.9740
10,0.9720
11,0.9770
12,0.9900
13,0.9870
14,0.9870
15,0.9930
16,0.9940
17,0.9840
18,0.9740
19,0.9780
20,0.9770
21,0.9800
22,0.9820
23,0.9860
24,0.9940
25,0.9980
26,0.9950
27,0.9840
28,0.9680
29,0.9810
30,0.9850
31,0.9850
32,0.9840
33,0.9780
34,0.9670
35,0.9370
36,0.9300
37,0.9220
38,0.9180
39,0.9130
40,0.9260
41,0.9310
42,0.9310
43,0.9430
44,0.9470
45,0.9390
46,0.9430
47,0.9320
48,0.9340
49,0.9450
50,0.9570
51,0.9570
52,0.9610
53,0.9630
54,0.9660
55,0.9660
56,0.9750
57,0.9790
58,0.9800
59,0.9930
60,0.9850
61,0.9920
62,0.9940
63,1.0050
64,1.0140
65,0.9890
66,0.9950
67,0.9900
68,1.0040
69,1.0190
70,1.0200
71,1.0180
72,1.0160
73,0.9980
74,1.0020
75,1.0150
76,0.9940
77,1.0000
78,1.0110
79,1.0440
80,1.0570
81,1.0440
82,1.0640
83,1.0700
84,1.0600
85,1.0690
86,1.0930
87,1.0850
88,1.0980
89,1.1220
90,1.1310
91,1.1060
92,1.0890
93,1.0810
94,1.0680
95,1.0570
96,1.0940
97,1.0990
98,1.0860
99,1.1140
100,1.1500
101,1.1560
102,1.1920
103,1.1890
104,1.1930
105,1.2020
106,1.1480
107,1.1820
108,1.1920
109,1.2090
110,1.2390
111,1.3050
112,1.3000
113,1.2850
114,1.2850
115,1.3060
116,1.3660
117,1.3630
118,1.3190
119,1.3470
120,1.3560
121,1.3670
122,1.3790
123,1.3830
124,1.3770
125,1.3090
126,1.3270
127,1.2730
128,1.2310
129,1.2490
130,1.2770
131,1.2820
132,1.2650
133,1.2950
134,1.2990
135,1.2860
136,1.2810
137,1.2550
138,1.2560
139,1.2560
140,1.2510
141,1.2360
142,1.2610
143,1.2600
144,1.2420
145,1.2630
146,1.3000
147,1.3140
148,1.3000
149,1.3000
150,1.2990
151,1.2940
152,1.3020
153,1.2870
154,1.2580
155,1.2350
156,1.2010
157,1.1810
158,1.2100
159,1.2230
160,1.2540
161,1.2670
162,1.2650
163,1.2590
164,1.2370
165,1.2030
166,1.1860
167,1.1840
168,1.1830
169,1.1550
170,1.1200
171,1.1190
172,1.1520
173,1.1310
174,1.1440
175,1.1280
176,1.1040
177,1.1260
178,1.1430
179,1.1520
180,1.1810
181,1.1790
182,1.1780
183,1.1860
184,1.1900
185,1.2030
186,1.2100
187,1.2270
188,1.2400
189,1.2200
190,1.2440
191,1.2020
192,1.2030
193,1.2090
194,1.2070
195,1.2310
