data,申万菱信安鑫优选混合型证券投资基金C(003512)
1,1.0590
2,1.0610
3,1.0590
4,1.0590
5,1.0580
6,1.0630
7,1.0640
8,1.0620
9,1.0650
10,1.0730
11,1.0000
12,1.0000
13,1.0010
14,1.0010
15,1.0030
16,1.0030
17,1.0020
18,1.0030
19,1.0030
20,1.0020
21,1.0030
22,1.0030
23,1.0030
24,1.0040
25,1.0030
26,1.0030
27,1.0020
28,1.0020
29,1.0020
30,1.0020
31,1.0010
32,1.0010
33,1.0010
34,1.0010
35,1.0020
36,1.0020
37,1.0020
38,1.0020
39,1.0030
40,1.0030
41,1.0030
42,1.0030
43,1.0030
44,1.0030
45,1.0030
46,1.0030
47,1.0020
48,1.0020
49,1.0010
50,1.0000
51,1.0010
52,1.0010
53,1.0010
54,1.0020
55,1.0030
56,1.0030
57,1.0040
58,1.0040
59,1.0040
60,1.0040
61,1.0050
62,1.0050
63,1.0060
64,1.0060
65,1.0060
66,1.0070
67,1.0060
68,1.0070
69,1.0060
70,1.0040
71,1.0050
72,1.0050
73,1.0060
74,1.0060
75,1.0060
76,1.0070
77,1.0060
78,1.0070
79,1.0060
80,1.0080
81,1.0080
82,1.0090
83,1.0080
84,1.0080
85,1.0070
86,1.0080
87,1.0080
88,1.0080
89,1.0090
90,1.0100
91,1.0100
92,1.0100
93,1.0100
94,1.0110
95,1.0130
96,1.0120
97,1.0120
98,1.0120
99,1.0110
100,1.0100
101,1.0100
102,1.0100
103,1.0100
104,1.0110
105,1.0130
106,1.0120
107,1.0120
108,1.0120
109,1.0110
110,1.0110
111,1.0130
112,1.0130
113,1.0140
114,1.0160
115,1.0140
116,1.0130
117,1.0130
118,1.0110
119,1.0130
120,1.0110
121,1.0130
122,1.0130
123,1.0140
124,1.0160
125,1.0140
126,1.0130
127,1.0130
128,1.0110
129,1.0130
130,1.0160
131,1.0170
132,1.0170
133,1.0160
134,1.0170
135,1.0140
136,1.0150
137,1.0130
138,1.0120
139,1.0140
140,1.0160
141,1.0170
142,1.0170
143,1.0160
144,1.0170
145,1.0140
146,1.0150
147,1.0130
148,1.0120
149,1.0140
150,1.0140
151,1.0150
152,1.0120
153,1.0100
154,1.0120
155,1.0110
156,1.0120
157,1.0100
158,1.0110
159,1.0110
160,1.0140
161,1.0150
162,1.0120
163,1.0100
164,1.0120
165,1.0110
166,1.0120
167,1.0100
168,1.0110
169,1.0110
170,1.0100
171,1.0090
172,1.0070
173,1.0080
174,1.0080
175,1.0090
176,1.0100
177,1.0110
178,1.0150
179,1.0130
180,1.0100
181,1.0090
182,1.0070
183,1.0080
184,1.0080
185,1.0090
186,1.0100
187,1.0110
188,1.0150
189,1.0130
190,1.0110
191,1.0130
192,1.0160
193,1.0170
194,1.0190
195,1.0180
196,1.0190
197,1.0170
198,1.0170
199,1.0170
200,1.0110
201,1.0130
202,1.0160
203,1.0170
204,1.0190
205,1.0180
206,1.0190
207,1.0170
208,1.0170
209,1.0170
210,1.0190
211,1.0190
212,1.0220
213,1.0200
214,1.0230
215,1.0250
216,1.0260
217,1.0230
218,1.0240
219,1.0250
220,1.0190
221,1.0190
222,1.0220
223,1.0200
224,1.0230
225,1.0250
226,1.0260
227,1.0230
228,1.0240
229,1.0250
230,1.0230
231,1.0230
232,1.0260
233,1.0250
234,1.0240
235,1.0240
236,1.0260
237,1.0270
238,1.0250
239,1.0270
240,1.0230
241,1.0230
242,1.0260
243,1.0250
244,1.0240
245,1.0240
246,1.0260
247,1.0270
248,1.0250
249,1.0270
250,1.0240
251,1.0240
252,1.0280
253,1.0300
254,1.0280
255,1.0310
256,1.0290
257,1.0270
258,1.0280
259,1.0300
260,1.0240
261,1.0240
262,1.0280
263,1.0300
264,1.0280
265,1.0310
266,1.0290
267,1.0270
268,1.0280
269,1.0300
270,1.0310
271,1.0310
272,1.0310
273,1.0280
274,1.0260
275,1.0290
276,1.0290
277,1.0310
278,1.0310
279,1.0270
280,1.0330
281,1.0350
282,1.0330
283,1.0320
284,1.0310
285,1.0320
286,1.0330
287,1.0330
288,1.0330
289,1.0340
290,1.0330
291,1.0350
292,1.0330
293,1.0320
294,1.0310
295,1.0320
296,1.0330
297,1.0330
298,1.0330
299,1.0340
300,1.0330
301,1.0350
302,1.0330
303,1.0320
304,1.0310
305,1.0320
306,1.0330
307,1.0330
308,1.0330
309,1.0340
310,1.0370
311,1.0370
312,1.0390
313,1.0380
314,1.0400
315,1.0410
316,1.0420
317,1.0420
318,1.0390
319,1.0380
320,1.0410
321,1.0410
322,1.0420
323,1.0410
324,1.0400
325,1.0430
326,1.0400
327,1.0410
328,1.0390
329,1.0400
330,1.0380
331,1.0380
332,1.0410
333,1.0440
334,1.0440
335,1.0460
336,1.0450
337,1.0470
338,1.0480
339,1.0490
340,1.0380
341,1.0380
342,1.0410
343,1.0440
344,1.0440
345,1.0460
346,1.0450
347,1.0470
348,1.0480
349,1.0490
350,1.0480
351,1.0480
352,1.0510
353,1.0510
354,1.0510
355,1.0530
356,1.0560
357,1.0560
358,1.0570
359,1.0590
