data,申万菱信新能源汽车主题灵活配置混合型证券投资基金(001156)
1,1.0000
2,1.0010
3,1.0200
4,1.0040
5,1.0470
6,1.0570
7,0.9960
8,0.9990
9,1.0020
10,0.9720
11,0.9670
12,0.9580
13,0.9540
14,0.9550
15,0.9590
16,0.9670
17,0.9700
18,0.9690
19,0.9710
20,0.9760
21,0.9770
22,0.9790
23,0.9780
24,0.9810
25,0.9800
26,0.9710
27,0.9700
28,0.9750
29,0.9730
30,0.9720
31,0.9700
32,0.9750
33,0.9740
34,0.9750
35,0.9780
36,0.9830
37,0.9810
38,0.9800
39,0.9830
40,0.9820
41,0.9830
42,0.9750
43,0.9770
44,0.9710
45,0.9640
46,0.9550
47,0.9470
48,0.9470
49,0.9540
50,0.9590
51,0.9570
52,0.9530
53,0.9520
54,0.9510
55,0.9550
56,0.9590
57,0.9570
58,0.9580
59,0.9530
60,0.9490
61,0.9540
62,0.9540
63,0.9550
64,0.9570
65,0.9570
66,0.9570
67,0.9570
68,0.9550
69,0.9570
70,0.9560
71,0.9560
72,0.9580
73,0.9590
74,0.9600
75,0.9610
76,0.9600
77,0.9620
78,0.9630
79,0.9660
80,0.9670
81,0.9610
82,0.9630
83,0.9640
84,0.9670
85,0.9670
86,0.9650
87,0.9660
88,0.9660
89,0.9640
90,0.9640
91,0.9710
92,0.9710
93,0.9740
94,0.9810
95,0.9840
96,0.9860
97,0.9880
98,0.9880
99,0.9900
100,0.9850
101,0.9780
102,0.9880
103,0.9870
104,0.9790
105,0.9820
106,0.9850
107,0.9810
108,0.9650
109,0.9670
110,0.9640
111,0.9670
112,0.9720
113,0.9690
114,0.9710
115,0.9670
116,0.9750
117,0.9730
118,0.9630
119,0.9650
120,0.9690
121,0.9670
122,0.9750
123,0.9750
124,0.9710
125,0.9720
126,0.9690
127,0.9670
128,0.9680
129,0.9620
130,0.9730
131,0.9740
132,0.9700
133,0.9450
134,0.9380
135,0.9430
136,0.9190
137,0.9200
138,0.9050
139,0.9100
140,0.9050
141,0.9170
142,0.9120
143,0.9140
144,0.9210
145,0.9210
146,0.9130
147,0.9140
148,0.9140
149,0.9020
150,0.8990
151,0.8900
152,0.8970
153,0.8970
154,0.9020
155,0.9030
156,0.9070
157,0.9030
158,0.9030
159,0.9100
160,0.9130
161,0.9120
162,0.9130
163,0.9170
164,0.9160
165,0.9170
166,0.9050
167,0.9060
168,0.8970
169,0.9020
170,0.9110
171,0.9130
172,0.9070
173,0.9110
174,0.9120
175,0.9070
176,0.9050
177,0.9070
178,0.9130
179,0.9150
180,0.9130
181,0.9280
182,0.9360
183,0.9400
184,0.9390
185,0.9390
186,0.9370
187,0.9380
188,0.9380
189,0.9330
190,0.9400
191,0.9400
192,0.9390
193,0.9450
194,0.9460
195,0.9450
196,0.9460
197,0.9470
198,0.9460
199,0.9470
200,0.9480
201,0.9470
202,0.9450
203,0.9460
204,0.9420
205,0.9400
206,0.9420
207,0.9410
208,0.9430
209,0.9440
210,0.9440
211,0.9450
212,0.9470
213,0.9470
214,0.9470
215,0.9440
216,0.9400
217,0.9400
218,0.9400
219,0.9400
220,0.9400
221,0.9430
222,0.9430
223,0.9420
224,0.9430
225,0.9440
226,0.9450
227,0.9440
228,0.9440
229,0.9440
230,0.9440
231,0.9430
232,0.9460
233,0.9490
234,0.9490
235,0.9500
236,0.9530
237,0.9550
238,0.9560
239,0.9490
240,0.9490
241,0.9580
242,0.9600
243,0.9590
244,0.9600
245,0.9560
246,0.9580
247,0.9560
248,0.9550
249,0.9570
250,0.9560
251,0.9570
252,0.9560
253,0.9540
254,0.9570
255,0.9560
256,0.9570
257,0.9580
258,0.9560
259,0.9550
260,0.9570
261,0.9580
262,0.9570
263,0.9570
264,0.9570
265,0.9570
266,0.9560
267,0.9550
268,0.9510
269,0.9490
270,0.9520
271,0.9390
272,0.9380
273,0.9360
274,0.9340
275,0.9360
276,0.9360
277,0.9400
278,0.9340
279,0.9360
280,0.9390
281,0.9360
282,0.9300
283,0.9320
284,0.9380
285,0.9410
286,0.9420
287,0.9410
288,0.9410
289,0.9370
290,0.9370
291,0.9370
292,0.9360
293,0.9370
294,0.9360
295,0.9360
296,0.9350
297,0.9340
298,0.9320
299,0.9330
300,0.9380
301,0.9370
302,0.9380
303,0.9370
304,0.9310
305,0.9310
306,0.9300
307,0.9320
308,0.9320
309,0.9320
310,0.9320
311,0.9310
312,0.9260
313,0.9280
314,0.9270
315,0.9270
316,0.9270
317,0.9300
318,0.9310
319,0.9300
320,0.9300
321,0.9300
322,0.9290
323,0.9310
324,0.9310
325,0.9310
326,0.9300
327,0.9300
328,0.9300
329,0.9290
330,0.9290
331,0.9280
332,0.9280
333,0.9290
334,0.9280
335,0.9280
336,0.9270
337,0.9270
338,0.9280
339,0.9260
340,0.9260
341,0.9260
342,0.9260
343,0.9260
344,0.9280
345,0.9270
346,0.9260
347,0.9260
348,0.9270
349,0.9270
350,0.9250
351,0.9250
352,0.9250
353,0.9240
354,0.9240
355,0.9240
356,0.9230
357,0.9220
358,0.9210
359,0.9220
360,0.9220
361,0.9210
362,0.9150
363,0.9150
364,0.9120
365,0.9120
366,0.9140
367,0.9140
368,0.9140
369,0.9140
370,0.9160
371,0.9140
372,0.9140
373,0.9130
374,0.9130
375,0.9120
376,0.9130
377,0.9130
378,0.9150
379,0.9190
380,0.9180
381,0.9160
382,0.9180
383,0.9170
384,0.9160
385,0.9150
386,0.9150
387,0.9130
388,0.9130
389,0.9130
390,0.9130
391,0.9140
392,0.9150
393,0.9150
394,0.9150
395,0.9150
396,0.9140
397,0.9150
398,0.9160
399,0.9160
400,0.9170
401,0.9160
402,0.9160
403,0.9160
404,0.9140
405,0.9150
406,0.9150
407,0.9160
408,0.9180
409,0.9180
410,0.9180
411,0.9180
412,0.9180
413,0.9180
414,0.9180
415,0.9170
416,0.9190
417,0.9190
418,0.9190
419,0.9180
420,0.9160
421,0.9170
422,0.9170
423,0.9170
424,0.9160
425,0.9170
426,0.9140
427,0.9140
428,0.9150
429,0.9150
430,0.9150
431,0.9150
432,0.9160
433,0.9170
434,0.9150
435,0.9120
436,0.9140
437,0.9180
438,0.9180
439,0.9180
440,0.9150
441,0.9170
442,0.9170
443,0.9170
444,0.9140
445,0.9130
446,0.9080
447,0.9070
448,0.9030
449,0.9030
450,0.8870
451,0.8870
452,0.8930
453,0.8960
454,0.8950
455,0.8960
456,0.8940
457,0.8920
458,0.8830
459,0.8740
460,0.8750
461,0.8660
462,0.8670
463,0.8660
464,0.8670
465,0.8820
466,0.8780
467,0.8710
468,0.8700
469,0.8630
470,0.8590
471,0.8610
472,0.8610
473,0.8590
474,0.8620
475,0.8520
476,0.8540
477,0.8580
478,0.8610
479,0.8730
480,0.8790
481,0.8800
482,0.8820
483,0.9050
484,0.9040
485,0.9050
486,0.9060
487,0.9080
488,0.9160
489,0.9190
490,0.9120
491,0.9180
492,0.9290
493,0.9260
494,0.9180
495,0.9200
496,0.9280
497,0.9310
498,0.9330
499,0.9450
500,0.9540
501,0.9590
502,0.9520
503,0.9410
504,0.9510
505,0.9440
506,0.9550
507,0.9370
508,0.9390
509,0.9520
510,0.9630
511,0.9660
512,0.9550
513,0.9540
514,0.9490
515,0.9460
516,0.9610
517,0.9690
518,0.9680
519,0.9660
520,0.9590
521,0.9430
522,0.9520
523,0.9430
524,0.9520
525,0.9450
526,0.9330
527,0.9590
