data,申万菱信沪深300指数增强型证券投资基金(310318)
1,2.3433
2,2.3416
3,2.3379
4,2.3302
5,2.3189
6,2.3345
7,2.3523
8,2.3523
9,2.3684
10,2.3684
11,1.0214
12,1.0215
13,0.9749
14,0.9748
15,0.9851
16,0.9925
17,0.9897
18,0.9977
19,1.0005
20,0.9777
21,0.9758
22,0.9990
23,0.9749
24,0.9748
25,0.9851
26,0.9925
27,0.9897
28,0.9977
29,1.0005
30,0.9777
31,0.9758
32,0.9990
33,1.0373
34,1.0186
35,1.0299
36,1.0358
37,1.0226
38,1.0060
39,0.9822
40,0.9835
41,1.0106
42,1.0100
43,1.0011
44,1.0035
45,0.9827
46,0.9844
47,0.9866
48,1.0049
49,1.0054
50,1.0172
51,1.0306
52,1.0233
53,1.0211
54,1.0216
55,1.0457
56,1.0471
57,1.0448
58,1.0312
59,1.0241
60,1.0347
61,1.0321
62,1.0290
63,1.0254
64,1.0115
65,1.0314
66,1.0371
67,1.0287
68,1.0236
69,1.0200
70,1.0215
71,1.0360
72,1.0322
73,1.0274
74,1.0329
75,1.0610
76,1.0779
77,1.0824
78,1.0905
79,1.0833
80,1.0779
81,1.0536
82,1.0569
83,1.0758
84,1.0685
85,1.0631
86,1.0418
87,1.0457
88,1.0484
89,1.0644
90,1.0698
91,1.0616
92,1.0867
93,1.0907
94,1.0854
95,1.0667
96,1.0604
97,1.0666
98,1.0926
99,1.0841
100,1.0697
101,1.0682
102,1.0537
103,1.0543
104,1.0519
105,1.0694
106,1.0480
107,1.0562
108,1.0525
109,1.0535
110,1.0391
111,1.0267
112,1.0105
113,1.0174
114,1.0277
115,1.0041
116,1.0114
117,1.0320
118,1.0642
119,1.0578
120,1.0619
121,1.0518
122,1.0488
