data,申万菱信稳益宝债券型证券投资基金(310508)
1,1.0000
2,1.0010
3,1.0010
4,1.0020
5,1.0020
6,1.0030
7,1.0030
8,1.0030
9,1.0030
10,1.0030
11,1.0030
12,1.0030
13,1.0040
14,1.0040
15,1.0040
16,1.0040
17,1.0040
18,1.0040
19,1.0040
20,1.0040
21,1.0040
22,1.0040
23,1.0040
24,1.0030
25,1.0040
26,1.0040
27,1.0040
28,1.0040
29,1.0040
30,1.0040
31,1.0040
32,1.0040
33,1.0040
34,1.0040
35,1.0040
36,1.0040
37,1.0040
38,1.0040
39,1.0050
40,1.0040
41,1.0040
42,1.0040
43,1.0040
44,1.0040
45,1.0050
46,1.0050
47,1.0050
48,1.0050
49,1.0050
50,1.0050
51,1.0050
52,1.0050
53,1.0050
54,1.0050
55,1.0050
56,1.0040
57,1.0040
58,1.0040
59,1.0040
60,1.0040
61,1.0040
62,1.0040
63,1.0050
64,1.0050
65,1.0050
66,1.0050
67,1.0050
68,1.0050
69,1.0060
70,1.0060
71,1.0060
72,1.0050
73,1.0050
74,1.0050
75,1.0050
76,1.0050
77,1.0050
78,1.0050
79,1.0040
80,1.0040
81,1.0030
82,1.0020
83,1.0020
84,1.0020
85,1.0020
86,1.0020
87,1.0010
88,1.0010
89,1.0020
90,1.0010
91,1.0010
92,1.0020
93,1.0020
94,1.0030
95,1.0030
96,1.0030
97,1.0040
98,1.0040
99,1.0040
100,1.0040
101,1.0040
102,1.0040
103,1.0040
104,1.0040
105,1.0040
106,1.0040
107,1.0040
108,1.0040
109,1.0020
110,1.0010
111,1.0010
112,1.0010
113,1.0010
114,1.0000
115,1.0000
116,1.0000
117,1.0000
118,1.0000
119,0.9990
120,1.0000
121,1.0000
122,1.0000
123,1.0000
124,1.0000
125,1.0000
126,1.0000
127,1.0010
128,1.0010
129,1.0020
130,1.0010
131,1.0010
132,1.0020
133,1.0030
134,1.0030
135,1.0020
136,1.0020
137,1.0040
138,1.0040
139,1.0040
140,1.0050
141,1.0050
142,1.0060
143,1.0060
144,1.0060
145,1.0060
146,1.0060
147,1.0060
148,1.0070
149,1.0080
150,1.0090
151,1.0090
152,1.0090
153,1.0100
154,1.0100
155,1.0110
156,1.0120
157,1.0120
158,1.0130
159,1.0120
160,1.0110
161,1.0100
162,1.0090
163,1.0090
164,1.0100
165,1.0100
166,1.0110
167,1.0110
168,1.0110
169,1.0110
170,1.0090
171,1.0120
172,1.0130
173,1.0120
174,1.0120
175,1.0120
176,1.0130
177,1.0120
178,1.0120
179,1.0110
180,1.0100
181,1.0100
182,1.0110
183,1.0110
184,1.0110
185,1.0100
186,1.0110
187,1.0110
188,1.0110
189,1.0110
190,1.0110
191,1.0110
192,1.0120
193,1.0120
194,1.0120
195,1.0130
196,1.0130
197,1.0150
198,1.0170
199,1.0160
200,1.0160
201,1.0150
202,1.0140
203,1.0150
204,1.0140
205,1.0160
206,1.0170
207,1.0180
208,1.0180
209,1.0170
210,1.0190
211,1.0190
212,1.0190
213,1.0180
214,1.0180
215,1.0180
216,1.0180
217,1.0170
218,1.0170
219,1.0170
220,1.0170
221,1.0160
222,1.0180
223,1.0180
224,1.0180
225,1.0170
226,1.0190
227,1.0180
228,1.0180
229,1.0170
230,1.0180
231,1.0190
232,1.0190
233,1.0180
234,1.0180
235,1.0190
236,1.0210
237,1.0220
238,1.0230
239,1.0210
240,1.0210
241,1.0230
242,1.0240
243,1.0230
244,1.0230
245,1.0230
246,1.0230
247,1.0240
248,1.0240
249,1.0230
250,1.0230
251,1.0240
252,1.0250
253,1.0250
254,1.0250
255,1.0250
256,1.0260
257,1.0280
258,1.0280
259,1.0290
260,1.0280
261,1.0300
262,1.0310
263,1.0330
264,1.0320
265,1.0330
266,1.0340
267,1.0350
268,1.0360
269,1.0380
270,1.0380
271,1.0390
272,1.0380
273,1.0380
274,1.0360
275,1.0370
276,1.0370
277,1.0380
278,1.0390
279,1.0390
280,1.0410
281,1.0410
282,1.0420
283,1.0440
284,1.0450
285,1.0460
286,1.0460
287,1.0490
288,1.0500
289,1.0520
290,1.0510
291,1.0510
292,1.0490
293,1.0500
294,1.0500
295,1.0520
296,1.0540
297,1.0560
298,1.0560
299,1.0580
300,1.0560
301,1.0570
302,1.0580
303,1.0560
304,1.0540
305,1.0550
306,1.0520
307,1.0520
308,1.0530
309,1.0530
310,1.0540
311,1.0540
312,1.0570
313,1.0570
314,1.0580
315,1.0580
316,1.0610
317,1.0620
318,1.0610
319,1.0620
320,1.0630
321,1.0640
322,1.0620
323,1.0630
324,1.0620
325,1.0620
326,1.0620
327,1.0620
328,1.0620
329,1.0610
330,1.0600
331,1.0600
332,1.0580
333,1.0570
334,1.0580
335,1.0580
336,1.0580
337,1.0590
338,1.0580
339,1.0590
340,1.0590
341,1.0600
342,1.0590
343,1.0590
344,1.0580
345,1.0580
346,1.0570
347,1.0570
348,1.0570
349,1.0570
350,1.0560
351,1.0560
352,1.0540
353,1.0550
354,1.0550
355,1.0540
356,1.0540
357,1.0540
358,1.0540
359,1.0530
360,1.0530
361,1.0550
362,1.0560
363,1.0540
364,1.0530
365,1.0520
366,1.0520
367,1.0510
368,1.0500
369,1.0500
370,1.0500
371,1.0500
372,1.0500
373,1.0500
374,1.0510
375,1.0530
376,1.0550
377,1.0540
378,1.0570
379,1.0580
380,1.0570
381,1.0560
382,1.0550
383,1.0550
384,1.0560
385,1.0590
386,1.0590
387,1.0590
388,1.0570
389,1.0550
390,1.0530
391,1.0500
392,1.0500
393,1.0510
394,1.0510
395,1.0540
396,1.0550
397,1.0540
398,1.0520
399,1.0530
400,1.0500
401,1.0510
402,1.0510
403,1.0500
404,1.0500
405,1.0500
406,1.0490
407,1.0500
408,1.0500
409,1.0500
410,1.0500
411,1.0510
412,1.0520
413,1.0510
414,1.0500
415,1.0500
416,1.0510
417,1.0510
418,1.0510
419,1.0550
420,1.0550
421,1.0600
422,1.0620
423,1.0610
424,1.0620
425,1.0600
426,1.0680
427,1.0700
428,1.0700
429,1.0690
430,1.0700
431,1.0690
432,1.0690
433,1.0740
434,1.0760
435,1.0750
436,1.0760
437,1.0790
438,1.0830
439,1.0840
440,1.0830
441,1.0840
442,1.0850
443,1.0830
444,1.0920
445,1.0950
446,1.0940
447,1.0950
448,1.1020
449,1.1040
450,1.1010
451,1.1000
452,1.0970
453,1.0950
454,1.1030
455,1.1040
456,1.1070
457,1.1080
458,1.1120
459,1.1110
460,1.1140
461,1.1150
462,1.1170
463,1.1230
464,1.1220
465,1.1150
466,1.1190
467,1.1110
468,1.1090
469,1.1090
470,1.1060
471,1.1080
472,1.1160
473,1.1160
474,1.1030
475,1.1070
476,1.1130
477,1.1130
478,1.1120
479,1.1100
480,1.1080
481,1.1040
482,1.1040
483,1.1040
484,1.1010
485,1.1030
486,1.1110
487,1.1130
488,1.1160
489,1.1170
490,1.1120
491,1.1120
492,1.1060
493,1.1050
494,1.1070
495,1.1080
496,1.1080
497,1.1060
498,1.1100
499,1.1120
500,1.1120
501,1.1110
502,1.1050
503,1.1080
504,1.1070
505,1.1060
506,1.1090
507,1.1050
508,1.0980
509,1.0990
510,1.0970
511,1.0990
512,1.0990
513,1.1030
514,1.1060
515,1.1090
516,1.1100
517,1.1080
518,1.1100
519,1.1130
520,1.1100
521,1.1110
522,1.1190
523,1.1290
524,1.1310
525,1.1330
526,1.1300
527,1.1280
528,1.1310
