data,申万菱信量化小盘股票型证券投资基金（LOF）(163110)
1,1.0000
2,1.0010
3,1.0010
4,1.0010
5,1.0020
6,1.0020
7,1.0030
8,1.0030
9,1.0030
10,1.0030
11,1.0030
12,1.0030
13,1.0040
14,1.0040
15,0.9980
16,0.9980
17,1.0040
18,1.0090
19,1.0130
20,1.0180
21,1.0170
22,1.0170
23,1.0100
24,1.0070
25,1.0050
26,1.0130
27,1.0110
28,1.0200
29,1.0210
30,1.0150
31,1.0120
32,1.0100
33,1.0070
34,1.0000
35,0.9850
36,0.9820
37,0.9970
38,0.9900
39,0.9860
40,0.9760
41,0.9870
42,0.9880
43,0.9890
44,0.9750
45,0.9800
46,0.9980
47,0.9800
48,0.9780
49,0.9700
50,0.9730
51,0.9570
52,0.9330
53,0.9310
54,0.9280
55,0.9280
56,0.9560
57,0.9640
58,0.9650
59,0.9650
60,0.9360
61,0.9360
62,0.9140
63,0.9020
64,0.9140
65,0.9320
66,0.9350
67,0.9360
68,0.9540
69,0.9580
70,0.9510
71,0.9360
72,0.9140
73,0.9020
74,0.9140
75,0.9320
76,0.9350
77,0.9360
78,0.9540
79,0.9580
80,0.9510
81,0.9570
82,0.9610
83,0.9690
84,0.9630
85,0.9560
86,0.9630
87,0.9530
88,0.9530
89,0.9730
90,0.9790
91,0.9550
92,0.9540
93,0.9320
94,0.9350
95,0.9360
96,0.9310
97,0.9290
98,0.9270
99,0.9270
100,0.9390
101,0.9030
102,0.9190
103,0.9040
104,0.8800
105,0.8790
106,0.8820
107,0.8820
108,0.8740
109,0.8670
110,0.8400
111,0.8280
112,0.8080
113,0.8240
114,0.8220
115,0.8210
116,0.8080
117,0.7950
118,0.8000
119,0.7970
120,0.7780
121,0.7690
122,0.7690
123,0.7810
124,0.7810
125,0.7660
126,0.7420
127,0.7420
128,0.7700
129,0.7990
130,0.7960
131,0.7960
132,0.7670
133,0.7480
134,0.7830
135,0.7670
136,0.7740
137,0.7840
138,0.7780
139,0.7770
140,0.7700
141,0.7830
142,0.7940
143,0.8020
144,0.7870
145,0.8050
146,0.8100
147,0.8160
148,0.8210
149,0.8220
150,0.8350
151,0.8390
152,0.8350
153,0.8350
154,0.8460
155,0.8600
156,0.8630
157,0.8750
158,0.8740
159,0.8680
160,0.8600
161,0.8670
162,0.8830
163,0.8870
164,0.8840
165,0.8820
166,0.8970
167,0.9120
168,0.9140
169,0.9200
170,0.8800
171,0.8680
172,0.8880
173,0.9010
174,0.8900
175,0.8930
176,0.8920
177,0.8720
178,0.8700
179,0.8670
180,0.8300
181,0.8210
182,0.8210
183,0.8480
184,0.8510
185,0.8440
186,0.8550
187,0.8590
188,0.8770
189,0.8830
190,0.8870
191,0.8760
192,0.8930
193,0.8910
194,0.9040
195,0.8980
196,0.8910
197,0.9060
198,0.9000
199,0.8900
200,0.9020
201,0.9050
202,0.9080
203,0.9160
204,0.9170
205,0.9010
206,0.9040
207,0.9000
208,0.9010
209,0.9000
210,0.8880
211,0.8980
212,0.8850
213,0.8790
214,0.8910
215,0.8860
216,0.8820
217,0.8680
218,0.8780
219,0.8930
220,0.8950
221,0.8950
222,0.8940
223,0.8670
224,0.8660
225,0.8640
226,0.8620
227,0.8590
228,0.8730
229,0.8680
230,0.8830
231,0.8820
232,0.8830
233,0.8910
234,0.8850
235,0.8840
236,0.8730
237,0.8480
238,0.8460
239,0.8430
240,0.8380
241,0.8820
242,0.8830
243,0.8910
244,0.8850
245,0.8840
246,0.8730
247,0.8480
248,0.8460
249,0.8430
250,0.8380
251,0.8500
252,0.8500
253,0.8580
254,0.8640
255,0.8610
256,0.8450
257,0.8610
258,0.8430
259,0.8380
260,0.8470
261,0.8580
262,0.8540
263,0.8270
264,0.8300
265,0.8400
266,0.8490
267,0.8420
268,0.8380
269,0.8440
270,0.8390
271,0.8320
272,0.8300
273,0.8150
274,0.7980
275,0.8110
276,0.8060
277,0.8230
278,0.8420
279,0.8530
280,0.8550
281,0.8650
282,0.8630
283,0.8510
284,0.8590
285,0.8510
286,0.8460
287,0.8440
288,0.8500
289,0.8630
290,0.8570
291,0.8620
292,0.8430
293,0.8260
294,0.8330
295,0.8290
296,0.8160
297,0.8190
298,0.8320
299,0.8240
300,0.8280
301,0.8370
302,0.8640
303,0.8720
304,0.8710
305,0.8770
306,0.8660
307,0.8670
308,0.8450
309,0.8430
310,0.8500
311,0.8250
312,0.8170
313,0.8230
314,0.8180
315,0.7950
316,0.8090
317,0.8220
318,0.8180
319,0.8390
320,0.8490
321,0.8330
322,0.8320
323,0.8250
324,0.8270
325,0.8300
326,0.8440
327,0.8400
328,0.8450
329,0.8390
330,0.8390
331,0.8290
332,0.8120
333,0.8140
334,0.8160
335,0.8200
336,0.8320
337,0.8360
338,0.8310
339,0.8220
340,0.8210
341,0.8050
342,0.8010
343,0.8060
344,0.7900
345,0.7910
346,0.7750
347,0.7710
348,0.7730
349,0.7700
350,0.7800
351,0.7700
352,0.7740
353,0.7660
354,0.7330
355,0.7160
356,0.7060
357,0.7160
358,0.6960
359,0.7030
360,0.7290
361,0.7270
362,0.7420
363,0.7530
364,0.7510
365,0.7500
366,0.7430
367,0.7690
368,0.7720
369,0.7690
370,0.7760
371,0.7790
372,0.7810
373,0.7860
374,0.8040
375,0.8180
376,0.8110
377,0.8180
378,0.8250
379,0.8240
380,0.8340
381,0.8440
382,0.8430
383,0.8460
384,0.8290
385,0.8580
386,0.8710
387,0.8720
388,0.8700
389,0.8810
390,0.8900
391,0.8720
392,0.8750
393,0.8540
394,0.8560
395,0.8780
396,0.8890
397,0.8900
398,0.8850
399,0.8870
400,0.8820
401,0.8900
402,0.8920
403,0.8950
404,0.9100
405,0.9150
406,0.9000
407,0.9180
408,0.9070
409,0.9060
410,0.9110
411,0.9040
412,0.9010
413,0.9130
414,0.9240
415,0.8950
416,0.9140
417,0.9320
418,0.9220
419,0.9190
420,0.9180
421,0.8980
422,0.8930
423,0.8960
424,0.8990
425,0.8890
426,0.8910
427,0.9140
428,0.9240
429,0.9250
430,0.9250
431,0.9200
432,0.9240
433,0.8970
434,0.8960
435,0.9020
436,0.8910
437,0.8810
438,0.8810
439,0.8910
440,0.8850
441,0.8840
442,0.8750
443,0.8650
444,0.8760
445,0.8830
446,0.8860
447,0.9030
448,0.9060
449,0.8810
450,0.9010
451,0.8890
452,0.8740
453,0.8790
454,0.8990
455,0.9110
456,0.9110
457,0.9190
458,0.9160
459,0.9240
460,0.9300
461,0.9150
462,0.9280
463,0.9350
464,0.9460
465,0.9620
466,0.9700
467,0.9610
468,0.9560
469,0.9680
470,0.9800
471,0.9780
472,0.9850
473,0.9890
474,0.9860
475,0.9800
476,0.9650
477,0.9680
478,0.9520
479,0.9370
480,0.9180
481,0.9330
482,0.9340
483,0.9380
484,0.9320
485,0.9060
486,0.9050
487,0.8570
488,0.8620
489,0.8750
490,0.8570
491,0.8550
492,0.8550
493,0.8730
494,0.8860
495,0.8870
496,0.8920
497,0.8860
498,0.8570
499,0.8620
500,0.8820
501,0.9030
502,0.8970
503,0.9160
504,0.9300
505,0.9200
506,0.9180
507,0.9010
508,0.9150
509,0.9390
510,0.9470
511,0.9290
512,0.9310
513,0.9140
514,0.9120
515,0.9170
516,0.9420
517,0.9450
518,0.9580
519,0.9710
520,0.9580
521,0.9600
522,0.9600
523,0.9710
524,0.9770
525,0.9730
526,0.9610
527,0.9430
528,0.9620
