data,融通中国风1号灵活配置混合型证券投资基金(001852)
1,1.2300
2,1.2330
3,1.2290
4,1.2170
5,1.2050
6,1.2290
7,1.2390
8,1.2420
9,1.2530
10,1.2580
11,1.0000
12,1.0000
13,1.0000
14,1.0000
15,1.0000
16,1.0000
17,1.0030
18,1.0030
19,1.0050
20,1.0060
21,1.0040
22,0.9910
23,0.9880
24,0.9870
25,0.9920
26,1.0020
27,1.0030
28,0.9960
29,0.9990
30,1.0020
31,0.9960
32,0.9930
33,1.0140
34,1.0130
35,1.0070
36,1.0130
37,1.0170
38,1.0120
39,1.0190
40,1.0170
41,1.0110
42,1.0090
43,1.0160
44,1.0120
45,1.0210
46,1.0250
47,1.0210
48,1.0140
49,1.0160
50,1.0000
51,0.9960
52,0.9990
53,1.0160
54,1.0120
55,1.0210
56,1.0250
57,1.0210
58,1.0140
59,1.0160
60,1.0000
61,0.9960
62,0.9990
63,0.9960
64,1.0000
65,1.0020
66,1.0010
67,1.0040
68,1.0180
69,1.0190
70,1.0190
71,1.0110
72,1.0010
73,1.0020
74,0.9920
75,0.9960
76,0.9940
77,0.9980
78,0.9960
79,0.9840
80,0.9840
81,0.9860
82,0.9940
83,0.9880
84,0.9860
85,0.9900
86,0.9900
87,0.9920
88,1.0070
89,1.0100
90,1.0100
91,1.0200
92,1.0250
93,1.0250
94,1.0200
95,1.0040
96,1.0050
97,1.0120
98,1.0120
99,1.0120
100,1.0100
101,1.0120
102,1.0180
103,1.0220
104,1.0220
105,1.0340
106,1.0410
107,1.0410
108,1.0410
109,1.0450
110,1.0520
111,1.0540
112,1.0590
113,1.0220
114,1.0220
115,1.0340
116,1.0410
117,1.0410
118,1.0410
119,1.0450
120,1.0520
121,1.0540
122,1.0590
123,1.0580
124,1.0530
125,1.0470
126,1.0570
127,1.0610
128,1.0580
129,1.0570
130,1.0540
131,1.0590
132,1.0610
133,1.0580
134,1.0530
135,1.0470
136,1.0570
137,1.0610
138,1.0580
139,1.0570
140,1.0540
141,1.0590
142,1.0610
143,1.0630
144,1.0530
145,1.0560
146,1.0670
147,1.0490
148,1.0510
149,1.0490
150,1.0410
151,1.0430
152,1.0450
153,1.0630
154,1.0530
155,1.0560
156,1.0670
157,1.0490
158,1.0510
159,1.0490
160,1.0410
161,1.0430
162,1.0450
163,1.0470
164,1.0480
165,1.0550
166,1.0600
167,1.0560
168,1.0550
169,1.0620
170,1.0780
171,1.0800
172,1.0870
173,1.0470
174,1.0480
175,1.0550
176,1.0600
177,1.0560
178,1.0550
179,1.0620
180,1.0780
181,1.0800
182,1.0870
183,1.0800
184,1.0760
185,1.0700
186,1.0700
187,1.0710
188,1.0710
189,1.0760
190,1.0780
191,1.0790
192,1.0780
193,1.0750
194,1.0430
195,1.0430
196,1.0550
197,1.0550
198,1.0560
199,1.0500
200,1.0330
201,1.0360
202,1.0340
203,1.0410
204,1.0440
205,1.0440
206,1.0530
207,1.0490
208,1.0370
209,1.0450
210,1.0450
211,1.0470
212,1.0500
213,1.0570
214,1.0590
215,1.0580
216,1.0530
217,1.0540
218,1.0520
219,1.0560
220,1.0530
221,1.0550
222,1.0530
223,1.0540
224,1.0560
225,1.0520
226,1.0520
227,1.0450
228,1.0410
229,1.0470
230,1.0440
231,1.0500
232,1.0510
233,1.0540
234,1.0640
235,1.0590
236,1.0700
237,1.0750
238,1.0750
239,1.0770
240,1.0740
241,1.0750
242,1.0720
243,1.0740
244,1.0760
245,1.0730
246,1.0780
247,1.0790
248,1.0770
249,1.0720
250,1.0580
251,1.0650
252,1.0510
253,1.0640
254,1.0460
255,1.0490
256,1.0660
257,1.0580
258,1.0620
259,1.0630
260,1.0620
261,1.0540
262,1.0530
263,1.0640
264,1.0460
265,1.0490
266,1.0660
267,1.0580
268,1.0620
269,1.0630
270,1.0620
271,1.0540
272,1.0530
273,1.0530
274,1.0690
275,1.0910
276,1.0880
277,1.0830
278,1.0950
279,1.0890
280,1.0710
281,1.0550
282,1.0400
283,1.0230
284,1.0260
285,1.0200
286,1.0150
287,1.0220
288,1.0310
289,1.0310
290,1.0350
291,1.0410
292,1.0430
293,1.0500
294,1.0480
295,1.0540
296,1.0550
297,1.0610
298,1.0780
299,1.0710
300,1.0590
301,1.0680
302,1.0620
303,1.0500
304,1.0480
305,1.0540
306,1.0550
307,1.0610
308,1.0780
309,1.0710
310,1.0590
311,1.0680
312,1.0620
313,1.0790
314,1.0780
315,1.0800
316,1.0790
317,1.0770
318,1.0790
319,1.0760
320,1.0760
321,1.0740
322,1.0740
323,1.0780
324,1.0730
325,1.0710
326,1.0670
327,1.0660
328,1.0650
329,1.0640
330,1.0630
331,1.0680
332,1.0630
333,1.0780
334,1.0730
335,1.0710
336,1.0670
337,1.0660
338,1.0650
339,1.0640
340,1.0630
341,1.0680
342,1.0630
343,1.0610
344,1.0600
