data,融通医疗保健行业混合型证券投资基金(161616)
1,1.1030
2,1.1030
3,1.1010
4,1.0980
5,1.0880
6,1.1010
7,1.1040
8,1.1060
9,1.1100
10,1.1130
11,1.0000
12,1.0000
13,1.0000
14,1.0000
15,1.0000
16,1.0000
17,1.0000
18,1.0000
19,1.0010
20,1.0010
21,1.0020
22,1.0030
23,1.0020
24,1.0010
25,0.9980
26,0.9990
27,1.0010
28,1.0000
29,1.0010
30,1.0010
31,1.0020
32,1.0030
33,1.0020
34,1.0010
35,0.9980
36,0.9990
37,1.0010
38,0.9970
39,0.9940
40,0.9960
41,0.9940
42,0.9900
43,0.9970
44,1.0020
45,1.0030
46,1.0150
47,1.0200
48,1.0160
49,1.0140
50,1.0240
51,1.0290
52,1.0280
53,1.0330
54,1.0260
55,1.0290
56,1.0190
57,1.0160
58,1.0110
59,1.0120
60,1.0160
61,1.0160
62,1.0250
63,1.0300
64,1.0290
65,1.0240
66,1.0220
67,1.0180
68,1.0110
69,1.0120
70,1.0160
71,1.0160
72,1.0250
73,1.0300
74,1.0290
75,1.0240
76,1.0220
77,1.0180
78,1.0140
79,1.0070
80,1.0010
81,0.9950
82,0.9990
83,1.0000
84,0.9920
85,0.9900
86,0.9890
87,0.9890
88,0.9840
89,0.9860
90,0.9790
91,0.9680
92,0.9600
93,0.9610
94,0.9670
95,0.9590
96,0.9610
97,0.9770
98,0.9740
99,0.9860
100,0.9840
101,0.9780
102,0.9760
103,0.9750
104,0.9930
105,0.9770
106,0.9720
107,0.9760
108,0.9740
109,0.9860
110,0.9840
111,0.9780
112,0.9760
113,0.9750
114,0.9930
115,0.9770
116,0.9720
117,0.9760
118,0.9720
119,0.9830
120,1.0010
121,1.0140
122,1.0180
123,1.0150
124,1.0230
125,1.0290
126,1.0120
127,1.0230
128,0.9720
129,0.9830
130,1.0010
131,1.0140
132,1.0180
133,1.0150
134,1.0230
135,1.0290
136,1.0120
137,1.0230
138,1.0450
139,1.0470
140,1.0530
141,1.0440
142,1.0680
143,1.0800
144,1.0920
145,1.0740
146,1.0900
147,1.0880
148,1.0790
149,1.0860
150,1.0780
151,1.1020
152,1.0660
153,1.0650
154,1.0560
155,1.0510
156,1.0510
157,1.0330
158,1.0790
159,1.0860
160,1.0780
161,1.1020
162,1.0660
163,1.0650
164,1.0560
165,1.0510
166,1.0510
167,1.0330
168,1.0530
169,1.0730
170,1.0820
171,1.1020
172,1.1010
173,1.0900
174,1.1330
175,1.1170
176,1.1070
177,1.1160
178,1.0530
179,1.0730
180,1.0820
181,1.1020
182,1.1010
183,1.0900
184,1.1330
185,1.1170
186,1.1070
187,1.1160
188,1.1080
189,1.0330
190,1.0470
191,1.0710
192,1.0650
193,1.0910
194,1.1000
195,1.0730
196,1.0630
197,1.0680
198,1.1080
199,1.0330
200,1.0470
201,1.0710
202,1.0650
203,1.0910
204,1.1000
205,1.0730
206,1.0630
207,1.0680
208,1.0440
209,1.0410
210,1.0600
211,1.0720
212,1.0660
213,1.0580
214,1.0760
215,1.0880
216,1.0970
217,1.0900
218,1.0920
219,1.1050
220,1.0950
221,1.0890
222,1.0960
223,1.0550
224,1.0500
225,1.0680
226,1.0510
227,1.0340
228,1.0320
229,1.0310
230,1.0310
231,1.0370
232,1.0620
233,1.0600
234,1.0740
235,1.0830
236,1.0660
237,1.0890
238,1.0890
239,1.0740
240,1.0940
241,1.1190
242,1.1310
243,1.1260
244,1.1440
245,1.1400
246,1.1070
247,1.1070
248,1.0970
249,1.1140
250,1.1160
251,1.1150
252,1.0890
253,1.1040
254,1.1020
255,1.1100
256,1.1330
257,1.1470
258,1.1470
259,1.1590
260,1.1740
261,1.1760
262,1.1580
263,1.1400
264,1.1480
265,1.1300
266,1.1200
267,1.1060
268,1.1470
269,1.1590
270,1.1740
271,1.1760
272,1.1580
273,1.1400
274,1.1480
275,1.1300
276,1.1200
277,1.1060
278,1.1310
279,1.1560
280,1.1520
281,1.1480
282,1.1170
283,1.1230
284,1.0840
285,1.0820
286,1.1220
287,1.1210
288,1.1150
289,1.1140
290,1.1510
291,1.1860
292,1.1990
293,1.1850
294,1.1720
295,1.1650
296,1.1800
297,1.1880
298,1.2020
299,1.2080
300,1.2330
301,1.2330
302,1.2080
303,1.2100
304,1.1960
305,1.2280
306,1.2500
307,1.2670
308,1.2020
309,1.2080
310,1.2330
311,1.2330
312,1.2080
313,1.2100
314,1.1960
315,1.2280
316,1.2500
317,1.2670
318,1.2400
319,1.2370
320,1.2280
321,1.2180
322,1.2140
323,1.2390
324,1.2410
325,1.2650
326,1.2730
327,1.2580
328,1.2400
329,1.2370
330,1.2280
331,1.2180
332,1.2140
333,1.2390
334,1.2410
335,1.2650
