data,融通汇财宝货币市场基金A类(161622)
1,0.6780%
2,0.6790%
3,0.6800%
4,0.6790%
5,0.6500%
6,0.6290%
7,0.5860%
8,0.5640%
9,0.4750%
10,0.6860%
11,0.9190%
12,1.1450%
13,1.5960%
14,1.8220%
15,2.1190%
16,2.1150%
17,2.1210%
18,2.1110%
19,2.0890%
20,2.0890%
21,2.0990%
22,2.0910%
23,2.0820%
24,2.0750%
25,2.0770%
26,2.0770%
27,2.0410%
28,2.0290%
29,1.9960%
30,1.9690%
31,1.9180%
32,1.9390%
33,1.9410%
34,1.9380%
35,1.9590%
36,1.9600%
37,1.9390%
38,1.8830%
39,1.8720%
40,1.8590%
41,1.8360%
42,1.8070%
43,1.7800%
44,1.7660%
45,1.7560%
46,1.7460%
47,1.7280%
48,1.7390%
49,1.7590%
50,1.7700%
51,1.7740%
52,1.7810%
53,1.8070%
54,1.8280%
55,1.8460%
56,1.8550%
57,1.8680%
58,1.8790%
59,1.8880%
60,1.9010%
61,1.9200%
62,1.9250%
63,1.9280%
64,1.7370%
65,1.4990%
66,1.0280%
67,1.0080%
68,0.9970%
69,0.9900%
70,1.1930%
71,1.4230%
72,1.8690%
73,1.8900%
74,1.8940%
75,1.8880%
76,1.8780%
77,1.8500%
78,1.8630%
79,1.8760%
80,1.9010%
81,1.9390%
82,1.9780%
83,2.0230%
84,2.1130%
85,2.1250%
86,2.0970%
87,2.0850%
88,2.0810%
89,2.0900%
90,2.0930%
91,2.0930%
92,2.1340%
93,2.1450%
94,2.1560%
95,2.1550%
96,2.1550%
97,2.1370%
98,2.1090%
99,2.0970%
100,2.0990%
101,2.1040%
102,2.1080%
103,2.1260%
104,2.1520%
105,2.1640%
106,2.1700%
107,2.1500%
108,2.1480%
109,2.1390%
110,2.1150%
111,2.0950%
112,2.0840%
113,2.1070%
114,2.1120%
115,2.1200%
116,2.1220%
117,2.1710%
118,2.1710%
119,2.1630%
120,2.1650%
121,2.1470%
122,2.1340%
123,2.1180%
124,2.1100%
125,2.1180%
126,2.1350%
127,2.1450%
128,2.1310%
129,2.1490%
130,2.1580%
131,2.1210%
132,2.0920%
133,2.0710%
134,2.0650%
135,2.0680%
136,2.0670%
137,2.0960%
138,2.1210%
139,2.1420%
140,2.1470%
141,2.1530%
142,2.1080%
143,2.0850%
144,2.0790%
145,2.0800%
146,2.0650%
147,2.0950%
148,2.1610%
149,2.1880%
150,2.1930%
151,2.1790%
152,2.1700%
153,2.1590%
154,2.1550%
155,2.1410%
156,2.1270%
157,2.1230%
158,2.1220%
159,2.1270%
160,2.1290%
161,2.1460%
162,2.1640%
163,2.1850%
164,2.2060%
165,2.2180%
166,2.2240%
167,2.2210%
168,2.2110%
169,2.1840%
170,2.1580%
171,2.1410%
172,2.1540%
173,2.1440%
174,2.1390%
175,2.1090%
176,2.6730%
177,2.6010%
178,2.5560%
179,2.5350%
180,2.5230%
181,2.5440%
182,2.4440%
183,2.4570%
184,2.4310%
185,2.4410%
186,2.4760%
187,2.4640%
188,2.0540%
189,2.0650%
190,2.0890%
191,2.0830%
192,2.0500%
193,2.4670%
194,2.4030%
195,2.3730%
196,2.3780%
197,2.5470%
198,2.5540%
199,2.2170%
200,2.2250%
201,2.0550%
202,2.0120%
203,2.1490%
204,2.0900%
205,2.1220%
206,2.3830%
207,2.3690%
208,2.3840%
209,2.1790%
210,2.1630%
211,2.0280%
212,1.9980%
213,1.9880%
214,2.3470%
215,2.3230%
216,2.3030%
217,2.2950%
218,2.3470%
219,2.7460%
220,2.3910%
221,2.4040%
222,2.3990%
223,2.3560%
224,2.3090%
225,1.8870%
226,1.8520%
227,1.7090%
228,1.9020%
229,2.1030%
230,2.2190%
231,2.3460%
232,2.4520%
233,2.6840%
234,2.4700%
235,2.4270%
236,2.3920%
237,2.3600%
238,2.3200%
239,2.2870%
240,2.3430%
241,2.3160%
242,2.2930%
243,2.2560%
244,2.2450%
245,2.2160%
246,2.2340%
247,2.2420%
248,2.2600%
249,2.2680%
250,2.2720%
251,2.2910%
252,2.2860%
253,2.2740%
254,2.2610%
255,2.2590%
256,2.2690%
257,2.2710%
258,2.2860%
259,2.2680%
260,2.2560%
261,2.2690%
262,2.2640%
263,2.2680%
264,2.2450%
265,2.2490%
266,2.2810%
267,2.2700%
268,2.2710%
269,2.2600%
270,2.2460%
271,2.2810%
272,2.2910%
273,2.3330%
274,2.3850%
275,2.4230%
276,2.4880%
277,2.5370%
278,2.5350%
279,2.5290%
280,2.7810%
281,2.9520%
282,3.1070%
283,3.3030%
284,3.7070%
285,4.0290%
286,3.8410%
287,3.8260%
288,3.8320%
289,3.6000%
290,3.3460%
291,3.4000%
292,3.3870%
293,3.3850%
294,3.1920%
295,3.0710%
296,3.2690%
297,3.2590%
298,3.1910%
299,3.1240%
300,3.3700%
301,3.5460%
302,3.3920%
303,3.3870%
304,3.4380%
305,3.3860%
306,3.4540%
307,3.4720%
308,3.5090%
309,3.6100%
310,3.6990%
311,3.7320%
