data,融通通瑞债券型证券投资基金A类(000466)
1,1.0760
2,1.0760
3,1.0760
4,1.0750
5,1.0750
6,1.0750
7,1.0760
8,1.0760
9,1.0780
10,1.0800
11,1.0000
12,1.0010
13,0.9990
14,0.9990
15,0.9960
16,0.9940
17,0.9990
18,0.9980
19,0.9970
20,0.9970
21,0.9970
22,0.9970
23,0.9960
24,0.9930
25,0.9910
26,0.9870
27,0.9860
28,0.9720
29,0.9710
30,0.9730
31,0.9740
32,0.9750
33,0.9720
34,0.9710
35,0.9720
36,0.9730
37,0.9750
38,0.9760
39,0.9770
40,0.9770
41,0.9790
42,0.9800
43,0.9810
44,0.9830
45,0.9850
46,0.9850
47,0.9850
48,0.9850
49,0.9850
50,0.9850
51,0.9860
52,0.9870
53,0.9810
54,0.9830
55,0.9850
56,0.9850
57,0.9850
58,0.9850
59,0.9850
60,0.9850
61,0.9860
62,0.9870
63,0.9870
64,0.9880
65,0.9890
66,0.9890
67,0.9900
68,0.9900
69,0.9900
70,0.9910
71,0.9920
72,0.9910
73,0.9910
74,0.9910
75,0.9910
76,0.9900
77,0.9910
78,0.9910
79,0.9910
80,0.9930
81,0.9930
82,0.9940
83,0.9910
84,0.9910
85,0.9910
86,0.9900
87,0.9910
88,0.9910
89,0.9910
90,0.9930
91,0.9930
92,0.9940
93,0.9940
94,0.9950
95,0.9970
96,0.9970
97,0.9980
98,0.9990
99,0.9990
100,0.9990
101,0.9990
102,0.9990
103,0.9940
104,0.9950
105,0.9970
106,0.9970
107,0.9980
108,0.9990
109,0.9990
110,0.9990
111,0.9990
112,0.9990
113,0.9960
114,0.9960
115,0.9950
116,0.9950
117,0.9950
118,0.9960
119,0.9970
120,0.9970
121,0.9970
122,0.9970
123,0.9960
124,0.9960
125,0.9950
126,0.9950
127,0.9950
128,0.9960
129,0.9970
130,0.9970
131,0.9970
132,0.9970
133,0.9990
134,0.9990
135,1.0010
136,1.0000
137,1.0000
138,0.9990
139,0.9990
140,1.0000
141,0.9990
142,1.0010
143,1.0010
144,1.0020
145,1.0030
146,1.0030
147,1.0030
148,1.0030
149,1.0030
150,1.0040
151,1.0040
152,1.0040
153,1.0070
154,1.0070
155,1.0070
156,1.0120
157,1.0110
158,1.0110
159,1.0130
160,1.0120
161,1.0130
162,1.0140
163,1.0070
164,1.0070
165,1.0070
166,1.0120
167,1.0110
168,1.0110
169,1.0130
170,1.0120
171,1.0130
172,1.0140
173,1.0140
174,1.0130
175,1.0120
176,1.0130
177,1.0130
178,1.0160
179,1.0210
180,1.0190
181,1.0220
182,1.0220
183,1.0140
184,1.0130
185,1.0120
186,1.0130
187,1.0130
188,1.0160
189,1.0210
190,1.0190
191,1.0220
192,1.0220
193,1.0250
194,1.0250
195,1.0260
196,1.0280
197,1.0300
198,1.0400
199,1.0460
200,1.0450
201,1.0410
202,1.0430
203,1.0490
204,1.0500
205,1.0480
206,1.0470
207,1.0460
208,1.0460
209,1.0480
210,1.0430
211,1.0410
212,1.0410
213,1.0490
214,1.0500
215,1.0480
216,1.0470
217,1.0460
218,1.0460
219,1.0480
220,1.0430
221,1.0410
222,1.0410
223,1.0400
224,1.0400
225,1.0400
226,1.0390
227,1.0370
228,1.0380
229,1.0390
230,1.0380
231,1.0340
232,1.0340
233,1.0360
234,1.0340
235,1.0280
236,1.0200
237,1.0280
238,1.0160
239,1.0110
240,1.0180
241,1.0290
242,1.0400
243,1.0360
244,1.0340
245,1.0280
246,1.0200
247,1.0280
248,1.0160
249,1.0110
250,1.0180
251,1.0290
252,1.0400
253,1.0380
254,1.0200
255,1.0270
256,1.0380
257,1.0400
258,1.0420
259,1.0430
260,1.0510
261,1.0440
262,1.0260
263,1.0380
264,1.0200
265,1.0270
266,1.0380
267,1.0400
268,1.0420
269,1.0430
270,1.0510
271,1.0440
272,1.0260
273,1.0300
274,1.0380
275,1.0320
276,1.0310
