data,西部利得成长精选灵活配置混合型证券投资基金(673020)
1,1.0570
2,1.0580
3,1.0570
4,1.0550
5,1.0540
6,1.0610
7,1.0640
8,1.0640
9,1.0690
10,1.0740
11,1.0000
12,1.0000
13,1.0000
14,1.0020
15,1.0020
16,1.0020
17,1.0010
18,1.0010
19,1.0010
20,1.0010
21,1.0010
22,1.0010
23,1.0010
24,1.0010
25,1.0010
26,1.0010
27,1.0040
28,1.0060
29,1.0010
30,1.0010
31,1.0010
32,1.0010
33,1.0010
34,1.0010
35,1.0010
36,1.0010
37,1.0040
38,1.0060
39,1.0070
40,1.0070
41,1.0060
42,1.0050
43,1.0060
44,1.0050
45,1.0040
46,1.0050
47,1.0060
48,1.0070
49,1.0060
50,1.0050
51,1.0050
52,1.0060
53,1.0050
54,1.0050
55,1.0050
56,1.0060
57,1.0050
58,1.0030
59,1.0050
60,1.0050
61,1.0040
62,1.0030
63,1.0030
64,1.0040
65,1.0030
66,1.0030
67,1.0030
68,1.0050
69,1.0050
70,1.0050
71,1.0040
72,1.0030
73,1.0030
74,1.0040
75,1.0030
76,1.0030
77,1.0030
78,1.0050
79,1.0040
80,1.0040
81,1.0040
82,1.0040
83,1.0040
84,1.0020
85,1.0030
86,1.0010
87,1.0000
88,0.9950
89,0.9910
90,0.9890
91,0.9890
92,0.9900
93,0.9900
94,0.9900
95,0.9890
96,0.9900
97,0.9900
98,0.9900
99,0.9900
100,0.9900
101,0.9900
102,0.9900
103,0.9900
104,0.9900
105,0.9900
106,0.9910
107,0.9910
108,0.9900
109,0.9910
110,0.9900
111,0.9910
112,0.9910
113,0.9910
114,0.9920
115,0.9920
116,0.9920
117,0.9920
118,0.9930
119,0.9910
120,0.9900
121,0.9910
122,0.9910
123,0.9910
124,0.9920
125,0.9920
126,0.9920
127,0.9920
128,0.9930
129,0.9930
130,0.9930
131,0.9930
132,0.9940
133,0.9940
134,0.9940
135,0.9940
136,0.9950
137,0.9950
138,0.9950
139,0.9930
140,0.9930
141,0.9930
142,0.9940
143,0.9940
144,0.9940
145,0.9940
146,0.9950
147,0.9950
148,0.9950
149,0.9950
150,0.9950
151,0.9950
152,0.9950
153,0.9950
154,0.9950
155,0.9950
156,0.9940
157,0.9940
158,0.9940
159,0.9950
160,0.9950
161,0.9950
162,0.9950
163,0.9950
164,0.9950
165,0.9950
166,0.9940
167,0.9940
168,0.9940
169,0.9940
170,0.9940
171,0.9940
172,0.9940
173,0.9940
174,0.9930
175,0.9940
176,0.9930
177,0.9940
178,0.9950
179,0.9940
180,0.9940
181,0.9940
182,0.9940
183,0.9940
184,0.9930
185,0.9940
186,0.9930
187,0.9940
188,0.9950
189,0.9950
190,0.9950
191,0.9950
192,0.9950
193,0.9950
194,0.9960
195,0.9960
196,0.9960
197,0.9960
198,0.9960
199,0.9950
200,0.9950
201,0.9950
202,0.9950
203,0.9950
204,0.9960
205,0.9960
206,0.9960
207,0.9960
208,0.9960
209,0.9960
210,0.9960
211,0.9990
212,0.9990
213,1.0000
214,1.0020
215,1.0010
216,1.0030
217,1.0040
218,1.0030
219,0.9960
220,0.9960
221,0.9990
222,0.9990
223,1.0000
224,1.0020
225,1.0010
226,1.0030
227,1.0040
228,1.0030
