data,诺安新动力灵活配置混合型证券投资基金(320018)
1,1.0000
2,1.0000
3,1.0010
4,1.0010
5,1.0010
6,1.0010
7,1.0010
8,1.0010
9,1.0010
10,1.0010
11,1.0020
12,1.0020
13,1.0030
14,1.0030
15,1.0070
16,1.0050
17,1.0020
18,1.0030
19,1.0070
20,1.0050
21,1.0110
22,1.0110
23,1.0150
24,1.0180
25,1.0180
26,1.0130
27,1.0170
28,1.0140
29,1.0060
30,1.0050
31,0.9940
32,1.0030
33,0.9950
34,0.9950
35,1.0020
36,0.9980
37,0.9940
38,0.9890
39,0.9940
40,1.0020
41,1.0020
42,1.0100
43,1.0130
44,1.0040
45,1.0110
46,1.0100
47,1.0060
48,1.0010
49,1.0070
50,1.0040
51,1.0150
52,1.0160
53,1.0170
54,1.0210
55,1.0210
56,1.0230
57,1.0230
58,1.0130
59,1.0160
60,1.0170
61,1.0120
62,1.0210
63,1.0210
64,1.0270
65,1.0280
66,1.0230
67,1.0140
68,1.0230
69,1.0110
70,1.0070
71,1.0100
72,1.0130
73,1.0130
74,0.9910
75,0.9940
76,1.0020
77,1.0050
78,1.0020
79,1.0040
80,1.0070
81,1.0010
82,0.9980
83,0.9940
84,0.9780
85,0.9670
86,0.9780
87,0.9800
88,0.9930
89,1.0010
90,1.0020
91,0.9970
92,1.0000
93,1.0010
94,0.9950
95,0.9970
96,0.9910
97,0.9890
98,0.9900
99,0.9970
100,1.0050
101,1.0100
102,1.0100
103,1.0010
104,0.9830
105,0.9780
106,0.9770
107,0.9700
108,0.9710
109,0.9790
110,0.9770
111,0.9870
112,0.9900
113,1.0060
114,1.0080
115,1.0050
116,1.0020
117,0.9950
118,0.9900
119,0.9730
120,0.9670
121,0.9720
122,0.9540
123,0.9510
124,0.9530
125,0.9490
126,0.9360
127,0.9530
128,0.9660
129,0.9640
130,0.9760
131,0.9780
132,0.9690
133,0.9670
134,0.9670
135,0.9640
136,0.9670
137,0.9760
138,0.9750
139,0.9810
140,0.9750
141,0.9770
142,0.9750
143,0.9710
144,0.9660
145,0.9710
146,0.9730
147,0.9790
148,0.9820
149,0.9810
150,0.9800
151,0.9790
152,0.9650
153,0.9650
154,0.9700
155,0.9640
156,0.9670
157,0.9580
158,0.9550
159,0.9560
160,0.9570
161,0.9590
162,0.9510
163,0.9520
164,0.9510
165,0.9330
166,0.9200
167,0.9180
168,0.9230
169,0.9170
170,0.9210
171,0.9350
172,0.9350
173,0.9390
174,0.9450
175,0.9450
176,0.9430
177,0.9380
178,0.9520
179,0.9520
180,0.9500
181,0.9490
182,0.9490
183,0.9480
184,0.9520
185,0.9630
186,0.9780
187,0.9710
188,0.9800
189,0.9860
190,0.9820
191,0.9950
192,1.0090
193,1.0110
194,1.0230
195,1.0160
196,1.0490
197,1.0540
198,1.0490
199,1.0400
200,1.0490
201,1.0590
202,1.0460
203,1.0630
204,1.0500
205,1.0500
206,1.0670
207,1.0760
208,1.0710
209,1.0650
210,1.0740
211,1.0590
212,1.0630
213,1.0780
214,1.0830
215,1.0920
216,1.0960
217,1.0770
218,1.0970
219,1.0800
220,1.0820
221,1.0930
222,1.0960
223,1.1010
224,1.1150
225,1.1310
226,1.1080
227,1.1310
228,1.1490
229,1.1190
230,1.1010
231,1.1100
232,1.0940
233,1.0820
234,1.0890
235,1.0900
236,1.0810
237,1.0900
238,1.1150
