data,诺德中小盘混合型证券投资基金(570006)
1,1.0000
2,1.0000
3,1.0010
4,0.9980
5,1.0060
6,1.0070
7,1.0080
8,1.0100
9,1.0100
10,1.0100
11,1.0150
12,1.0080
13,1.0110
14,1.0110
15,1.0190
16,1.0230
17,1.0070
18,1.0090
19,1.0040
20,1.0120
21,1.0240
22,1.0300
23,1.0270
24,1.0240
25,1.0070
26,1.0110
27,1.0160
28,1.0040
29,1.0100
30,1.0210
31,1.0440
32,1.0490
33,1.0420
34,1.0240
35,1.0070
36,1.0110
37,1.0160
38,1.0040
39,1.0100
40,1.0210
41,1.0440
42,1.0490
43,1.0420
44,1.0430
45,1.0490
46,1.0400
47,1.0410
48,1.0700
49,1.0760
50,1.0670
51,1.0810
52,1.1000
53,1.0620
54,1.0600
55,1.0550
56,1.0340
57,1.0400
58,1.0050
59,1.0350
60,1.0450
61,1.0480
62,1.0620
63,1.0960
64,1.0900
65,1.0770
66,1.0720
67,1.0860
68,1.1240
69,1.1100
70,1.0880
71,1.1120
72,1.1220
73,1.1360
74,1.1410
75,1.1470
76,1.1370
77,1.0800
78,1.1040
79,1.0650
80,1.0230
81,1.0400
82,1.0770
83,1.0930
84,1.0840
85,1.1100
86,1.1070
87,1.1020
88,1.1070
89,1.0900
90,1.0880
91,1.0900
92,1.0840
93,1.0710
94,1.0900
95,1.0880
96,1.0700
97,1.0880
98,1.1200
99,1.1370
100,1.1310
101,1.1290
102,1.1280
103,1.1170
104,1.1280
105,1.1130
106,1.0920
107,1.0720
108,1.0490
109,1.0310
110,1.0500
111,1.0570
112,1.0840
113,1.1010
114,1.0990
115,1.0890
116,1.0760
117,1.0440
118,1.0390
119,1.0400
120,1.0440
121,1.0280
122,0.9950
123,0.9990
124,1.0230
125,0.9970
126,0.9980
127,0.9780
128,0.9700
129,0.9810
130,0.9910
131,0.9950
132,1.0060
133,1.0040
134,0.9950
135,1.0160
136,1.0240
137,1.0500
138,1.0510
139,1.0680
140,1.0670
141,1.0500
142,1.0740
143,1.0420
144,1.0430
145,1.0430
146,1.0460
147,1.0620
148,1.0620
149,1.0520
150,1.0320
151,1.0460
152,1.0670
153,1.0600
154,1.0660
155,1.0530
156,1.0460
157,1.0560
158,1.0420
159,1.0570
160,1.0360
161,1.0380
162,1.0290
163,1.0400
164,1.0540
165,1.0540
166,1.0610
167,1.0480
168,1.0270
169,1.0260
170,1.0150
171,1.0220
172,1.0170
173,1.0320
174,1.0440
175,1.0340
176,1.0250
177,1.0310
178,1.0230
179,1.0220
180,1.0220
181,1.0050
182,1.0070
183,1.0170
184,1.0110
185,0.9970
186,0.9870
187,0.9800
188,0.9570
189,0.9710
190,0.9800
191,0.9550
192,0.9540
193,0.9550
194,0.9600
195,0.9640
196,0.9650
197,0.9550
198,0.9560
199,0.9500
200,0.9490
201,0.9570
202,0.9540
203,0.9520
204,0.9250
205,0.9220
206,0.9110
207,0.9030
208,0.8960
209,0.8950
210,0.9050
211,0.9100
212,0.9010
213,0.9140
214,0.9160
215,0.9150
216,0.8990
217,0.9030
218,0.9000
219,0.9170
220,0.9070
221,0.8960
222,0.8930
223,0.8870
224,0.9020
225,0.9020
226,0.9230
227,0.9310
228,0.9360
229,0.9380
230,0.9290
231,0.9420
232,0.9430
233,0.9600
234,0.9640
235,0.9670
236,0.9640
237,0.9630
238,0.9730
239,0.9610
