data,诺德货币B(002673)
1,2.2420%
2,1.7410%
3,1.6580%
4,1.6030%
5,1.5740%
6,1.3140%
7,1.3390%
8,1.3910%
9,1.4080%
10,1.4290%
11,1.4450%
12,1.4700%
13,1.4920%
14,1.5460%
15,1.5760%
16,1.6070%
17,1.6520%
18,1.6900%
19,1.7280%
20,1.7900%
21,1.8170%
22,1.8310%
23,1.8280%
24,1.8150%
25,1.7920%
26,1.7710%
27,1.7650%
28,1.7900%
29,1.8020%
30,1.8850%
31,1.9030%
32,1.9180%
33,1.9410%
34,1.9650%
35,1.9950%
36,2.0570%
37,2.0980%
38,2.1380%
39,2.1890%
40,2.2420%
41,2.2950%
42,2.4010%
43,2.4550%
44,2.5080%
45,2.5620%
46,2.6140%
47,2.6600%
48,2.7520%
49,2.7620%
50,2.7530%
51,2.7420%
52,2.7290%
53,2.7170%
54,2.6920%
55,2.6960%
56,2.6790%
57,2.6470%
58,2.6190%
59,2.5930%
60,2.5290%
61,2.4940%
62,2.4820%
63,2.4370%
64,2.4150%
65,2.3940%
66,2.3550%
67,2.3360%
68,2.3270%
69,2.3660%
70,2.3770%
71,2.3020%
72,2.1350%
73,2.1230%
74,2.1040%
75,2.0830%
76,2.0670%
77,2.1360%
78,2.3010%
79,2.3120%
80,2.3080%
81,2.2960%
82,2.2830%
83,2.2700%
84,2.2440%
85,2.2340%
86,2.2270%
87,2.2270%
88,2.2210%
89,2.2160%
90,2.1940%
91,2.2960%
92,2.4020%
93,2.3930%
94,2.3710%
95,2.3820%
96,2.3700%
97,2.2540%
98,2.1400%
99,2.1400%
100,2.1540%
101,2.1300%
102,2.1200%
103,2.1170%
104,2.1130%
105,2.1070%
106,2.1480%
107,2.1480%
108,2.1550%
109,2.1570%
110,2.1600%
111,2.1590%
112,2.1140%
113,2.1050%
114,2.0910%
115,2.0830%
116,2.0820%
117,2.2110%
118,2.1960%
119,2.2050%
120,2.2450%
121,2.2360%
122,2.2670%
123,2.1300%
124,2.0560%
125,2.0640%
126,2.0700%
127,2.0780%
128,2.0610%
129,2.0650%
130,2.0750%
131,2.0510%
132,2.0410%
133,2.6290%
134,2.6520%
135,2.6530%
136,2.6500%
137,2.7530%
138,2.7720%
139,2.1880%
140,2.1930%
141,2.2260%
142,2.2770%
143,2.2470%
144,2.2860%
145,2.3340%
146,2.3730%
147,2.3760%
148,2.3980%
149,2.3900%
150,2.3790%
151,2.3580%
152,2.3490%
153,2.5760%
154,2.5470%
155,3.1930%
156,3.1780%
157,3.1740%
158,3.2570%
159,3.0220%
160,3.0200%
161,2.3520%
162,2.3570%
163,2.3530%
164,2.2660%
165,2.2670%
166,2.2900%
167,2.3000%
168,2.3070%
169,2.3350%
170,2.3610%
171,2.3900%
172,2.4530%
173,3.2400%
174,3.2720%
175,3.2870%
176,3.2960%
177,3.2350%
178,3.2430%
179,2.4750%
180,2.4930%
181,2.2600%
182,2.0420%
183,1.9220%
184,2.0580%
185,1.8700%
186,1.6870%
187,1.6900%
188,1.7790%
189,2.1930%
190,2.5150%
191,2.9680%
192,3.3590%
193,3.7440%
194,4.1790%
195,4.2240%
196,4.2640%
197,4.3310%
198,4.2220%
199,4.1520%
200,3.9120%
201,3.6480%
202,3.1090%
203,3.0840%
204,2.9670%
205,2.9140%
206,2.8410%
207,2.8660%
208,2.9110%
209,3.2050%
210,3.2620%
211,3.3320%
212,3.4280%
213,3.5080%
214,3.6930%
215,3.2860%
216,3.3850%
217,3.4370%
218,3.4990%
219,3.6100%
220,3.6100%
221,3.6090%
222,3.6010%
223,3.7910%
224,3.7670%
225,3.7520%
226,3.7390%
227,3.7120%
228,3.6950%
229,3.4680%
230,3.4650%
231,3.4600%
232,3.4580%
