data,财通多策略精选混合型证券投资基金(501001)
1,1.0000
2,0.9990
3,0.9930
4,1.0060
5,1.0190
6,1.0140
7,1.0110
8,1.0160
9,1.0060
10,0.9780
11,0.9200
12,0.9570
13,0.9280
14,0.9500
15,0.9300
16,0.9380
17,0.9270
18,0.9360
19,0.9560
20,0.9670
21,0.9860
22,0.9910
23,0.9870
24,1.0000
25,1.0050
26,0.9980
27,1.0110
28,0.9910
29,1.0050
30,1.0110
31,1.0180
32,1.0230
33,1.0150
34,1.0170
35,1.0170
36,1.0080
37,1.0050
38,1.0230
39,1.0270
40,1.0350
41,1.0390
42,1.0400
43,1.0450
44,1.0440
45,1.0370
46,1.0430
47,1.0460
48,1.0370
49,1.0470
50,1.0540
51,1.0520
52,1.0540
53,1.0580
54,1.0550
55,1.0330
56,1.0280
57,1.0340
58,1.0360
59,1.0440
60,1.0390
61,1.0450
62,1.0400
63,1.0460
64,1.0450
65,1.0440
66,1.0520
67,1.0610
68,1.0690
69,1.0860
70,1.0930
71,1.1020
72,1.1080
73,1.1050
74,1.1010
75,1.1040
76,1.0950
77,1.1010
78,1.1120
79,1.1050
80,1.0570
81,1.0460
82,1.0610
83,1.0090
84,1.0080
85,0.9710
86,0.9780
87,0.9480
88,0.9790
89,0.9570
90,0.9760
91,1.0060
92,0.9950
93,0.9590
94,0.9740
95,0.9810
96,0.9290
97,0.9230
98,0.8920
99,0.9160
100,0.9030
101,0.9280
102,0.9310
103,0.9420
104,0.9320
105,0.9370
106,0.9710
107,0.9840
108,0.9860
109,0.9930
110,1.0110
111,1.0000
112,1.0030
113,0.9400
114,0.9330
115,0.8920
116,0.9090
117,0.9390
118,0.9410
119,0.9230
120,0.9360
121,0.9440
122,0.9350
123,0.9210
124,0.9330
125,0.8920
126,0.9090
127,0.9390
128,0.9410
129,0.9230
130,0.9360
131,0.9440
132,0.9350
133,0.9210
134,0.9210
135,0.9460
136,0.9420
137,0.9370
138,0.9600
139,0.9850
140,1.0090
141,1.0090
142,1.0140
143,1.0030
144,1.0060
145,1.0070
146,0.9890
147,1.0180
148,1.0190
149,1.0190
150,1.0380
151,1.0430
152,1.0270
153,1.0180
154,1.0330
155,1.0250
156,1.0380
157,1.0500
158,1.0540
159,1.0420
160,1.0470
161,1.0180
162,1.0050
163,1.0080
164,1.0010
165,1.0110
166,1.0110
167,1.0070
168,1.0120
169,1.0340
170,1.0300
171,1.0340
172,0.9970
173,0.9610
174,0.9630
175,0.9560
176,0.9590
177,0.9570
178,0.9720
179,0.9720
180,0.9590
181,0.9640
182,0.9710
183,0.9840
184,0.9720
185,0.9650
186,0.9660
187,0.9590
188,0.9580
189,0.9970
190,1.0030
191,1.0120
192,1.0190
193,1.0270
194,1.0250
195,1.0280
196,0.9770
197,0.9750
198,1.0060
199,1.0070
200,1.0070
201,1.0170
202,1.0090
203,1.0220
204,1.0250
205,1.0280
206,0.9770
207,0.9750
208,1.0060
209,1.0070
210,1.0070
211,1.0170
212,1.0090
213,1.0220
214,1.0220
215,1.0140
216,1.0350
217,1.0460
218,1.0590
219,1.0580
220,1.0550
221,1.0780
222,1.0890
223,1.0940
224,1.0910
225,1.0890
226,1.0850
227,1.0910
228,1.1010
229,1.1030
230,1.1040
231,1.1000
232,1.1080
233,1.1090
234,1.1170
235,1.1140
236,1.1100
237,1.1150
238,1.0820
239,1.0700
240,1.0550
241,1.0410
242,1.0460
243,1.0490
244,1.0670
245,1.0580
246,1.0700
247,1.0770
248,1.0760
249,1.0610
250,1.0690
251,1.0950
252,1.1100
253,1.1180
254,1.1140
255,1.1160
256,1.0970
257,1.0910
258,1.0980
259,1.0980
260,1.0990
261,1.0950
262,1.0990
263,1.1010
264,1.0900
265,1.0790
266,1.0790
267,1.0920
268,1.0930
269,1.0960
270,1.0890
271,1.0550
272,1.0570
273,1.0510
274,1.0580
275,1.0600
276,1.0640
277,1.0660
278,1.0630
279,1.0430
280,1.0500
281,1.0500
282,1.0530
283,1.0560
284,1.0730
285,1.0750
286,1.0740
287,1.0710
288,1.0690
289,1.0620
290,1.0770
291,1.0780
292,1.0780
293,1.0740
294,1.0800
295,1.0820
296,1.0730
297,1.0730
298,1.0640
299,1.0670
300,1.0720
301,1.0640
302,1.0680
303,1.0680
304,1.0680
305,1.0730
306,1.0640
307,1.0710
308,1.0730
309,1.0780
310,1.0790
311,1.0780
312,1.0720
313,1.0670
314,1.0690
315,1.0730
316,1.0700
317,1.0660
318,1.0710
319,1.0690
320,1.0650
321,1.0640
322,1.0660
323,1.0570
324,1.0490
325,1.0490
326,1.0550
327,1.0520
328,1.0510
329,1.0320
330,1.0310
331,1.0250
332,1.0260
333,1.0300
334,1.0280
335,1.0260
336,1.0290
337,1.0310
338,1.0300
339,1.0310
340,1.0300
341,1.0280
342,1.0270
343,1.0260
344,1.0260
345,1.0290
346,1.0360
347,1.0360
348,1.0310
349,1.0340
350,1.0320
351,1.0300
352,1.0270
353,1.0220
354,1.0170
355,1.0190
356,1.0190
357,1.0180
358,1.0220
359,1.0230
360,1.0220
361,1.0220
362,1.0240
363,1.0230
364,1.0260
365,1.0250
366,1.0270
367,1.0290
368,1.0300
369,1.0300
370,1.0310
371,1.0270
372,1.0300
373,1.0270
374,1.0320
375,1.0350
376,1.0370
377,1.0340
378,1.0340
379,1.0310
380,1.0330
381,1.0340
382,1.0330
383,1.0350
384,1.0400
385,1.0410
386,1.0400
387,1.0370
388,1.0400
389,1.0440
390,1.0430
391,1.0430
392,1.0450
393,1.0410
394,1.0430
395,1.0530
396,1.0560
397,1.0580
398,1.0560
399,1.0510
400,1.0500
401,1.0500
402,1.0420
403,1.0470
404,1.0570
405,1.0590
406,1.0560
407,1.0450
408,1.0430
409,1.0430
410,1.0450
411,1.0360
412,1.0390
413,1.0410
414,1.0360
415,1.0370
416,1.0300
417,1.0160
418,1.0120
419,1.0210
420,1.0310
421,1.0340
422,1.0370
423,1.0400
424,1.0320
425,1.0260
426,1.0170
427,1.0180
428,1.0140
429,1.0200
430,1.0120
431,1.0150
432,1.0360
433,1.0310
434,1.0280
435,1.0200
436,1.0150
437,1.0090
438,1.0060
439,1.0070
440,1.0030
441,0.9930
442,0.9860
443,0.9920
444,0.9970
445,1.0070
446,1.0290
447,1.0320
448,1.0370
449,1.0360
450,1.0470
451,1.0380
452,1.0420
453,1.0400
454,1.0480
455,1.0480
456,1.0550
457,1.0410
458,1.0480
459,1.0640
460,1.0670
461,1.0560
462,1.0590
463,1.0590
464,1.0540
465,1.0480
466,1.0580
467,1.0560
468,1.0500
469,1.0470
470,1.0420
471,1.0400
472,1.0280
473,1.0270
474,1.0010
475,1.0020
476,1.0150
477,1.0240
478,1.0250
479,1.0310
480,1.0280
481,1.0160
482,1.0260
483,1.0400
484,1.0410
485,1.0440
486,1.0400
487,1.0300
488,1.0230
489,1.0370
490,1.0380
491,1.0560
492,1.0570
493,1.0330
494,1.0580
495,1.0640
496,1.0690
497,1.0680
498,1.0410
499,1.0470
500,1.0470
501,1.0450
502,1.0370
503,1.0400
504,1.0510
505,1.0480
506,1.0500
507,1.0480
508,1.0560
509,1.0610
510,1.0550
511,1.0570
512,1.0570
513,1.0580
514,1.0720
515,1.0700
516,1.0800
517,1.0810
518,1.0750
519,1.1000
520,1.0880
521,1.0930
522,1.0930
523,1.0880
524,1.0800
525,1.0860
526,1.0890
527,1.0960
528,1.0990
529,1.1050
530,1.1050
531,1.1060
532,1.1050
533,1.1100
534,1.0910
535,1.0940
536,1.1020
537,1.1050
538,1.1070
539,1.1130
540,1.1130
541,1.1160
542,1.1190
543,1.1090
544,1.0850
545,1.0790
546,1.0790
547,1.0780
548,1.0730
549,1.0920
550,1.0890
551,1.0840
552,1.0930
553,1.1010
