data,银华生态环保主题灵活配置混合型证券投资基金(001954)
1,1.0670
2,1.0790
3,1.0730
4,1.0630
5,1.0500
6,1.0510
7,1.0540
8,1.0630
9,1.0710
10,1.0700
11,1.0000
12,1.0000
13,1.0020
14,1.0030
15,1.0040
16,1.0050
17,1.0060
18,1.0060
19,1.0050
20,1.0060
21,1.0070
22,1.0100
23,1.0110
24,1.0110
25,1.0110
26,1.0110
27,1.0110
28,1.0110
29,1.0110
30,1.0110
31,1.0110
32,1.0110
33,1.0120
34,1.0120
35,1.0120
36,1.0140
37,1.0160
38,1.0120
39,1.0100
40,1.0100
41,1.0110
42,1.0110
43,1.0110
44,1.0120
45,1.0110
46,1.0090
47,1.0090
48,1.0100
49,1.0100
50,1.0080
51,1.0080
52,1.0090
53,1.0090
54,1.0070
55,1.0150
56,1.0160
57,1.0170
58,1.0170
59,1.0170
60,1.0170
61,1.0170
62,1.0140
63,1.0140
64,1.0180
65,1.0190
66,1.0200
67,1.0220
68,1.0220
69,1.0250
70,1.0170
71,1.0170
72,1.0140
73,1.0140
74,1.0180
75,1.0190
76,1.0200
77,1.0220
78,1.0220
79,1.0250
80,1.0230
81,1.0200
82,1.0230
83,1.0270
84,1.0290
85,1.0250
86,1.0210
87,1.0250
88,1.0270
89,1.0260
90,1.0270
91,1.0250
92,1.0240
93,1.0250
94,1.0260
95,1.0280
96,1.0240
97,1.0190
98,1.0190
99,1.0200
