data,银华稳利灵活配置混合型证券投资基金(002323)
1,1.0140
2,1.0140
3,1.0140
4,1.0140
5,1.0140
6,1.0140
7,1.0130
8,1.0120
9,1.0100
10,1.0100
11,1.0110
12,1.0100
13,1.0100
14,1.0090
15,1.0080
16,1.0060
17,1.0040
18,1.0040
19,1.0040
20,1.0040
21,1.0040
22,1.0050
23,1.0050
24,1.0060
25,1.0070
26,1.0070
27,1.0070
28,1.0080
29,1.0100
30,1.0100
31,1.0100
32,1.0100
33,1.0100
34,1.0100
35,1.0100
36,1.0100
37,1.0110
38,1.0110
39,1.0130
40,1.0130
41,1.0130
42,1.0130
43,1.0130
44,1.0130
45,1.0140
46,1.0140
47,1.0140
48,1.0150
49,1.0150
50,1.0150
51,1.0160
52,1.0160
53,1.0170
54,1.0170
55,1.0170
56,1.0170
57,1.0180
58,1.0190
59,1.0200
60,1.0200
61,1.0210
62,1.0210
63,1.0230
64,1.0250
65,1.0250
66,1.0260
67,1.0260
68,1.0270
69,1.0290
70,1.0290
71,1.0300
72,1.0300
73,1.0300
74,1.0310
75,1.0310
76,1.0320
77,1.0320
78,1.0320
79,1.0330
80,1.0320
81,1.0320
82,1.0330
83,1.0330
84,1.0340
85,1.0350
86,1.0350
87,1.0360
88,1.0370
89,1.0380
90,1.0380
91,1.0390
92,1.0390
93,1.0400
94,1.0400
95,1.0400
96,1.0400
97,1.0400
98,1.0390
99,1.0390
100,1.0380
101,1.0380
102,1.0390
103,1.0390
104,1.0380
105,1.0380
106,1.0380
107,1.0380
108,1.0390
109,1.0390
110,1.0390
111,1.0390
112,1.0390
113,1.0390
114,1.0390
115,1.0390
116,1.0390
117,1.0390
118,1.0390
119,1.0400
120,1.0400
121,1.0400
122,1.0400
123,1.0400
124,1.0410
125,1.0410
126,1.0420
127,1.0430
128,1.0430
129,1.0440
130,1.0440
131,1.0450
132,1.0450
133,1.0460
134,1.0460
135,1.0460
136,1.0460
137,1.0460
138,1.0450
139,1.0440
140,1.0440
141,1.0440
142,1.0440
143,1.0440
144,1.0450
145,1.0450
146,1.0450
147,1.0450
148,1.0450
149,1.0450
150,1.0450
151,1.0450
152,1.0440
153,1.0440
154,1.0430
155,1.0420
156,1.0420
157,1.0420
158,1.0420
159,1.0420
160,1.0430
161,1.0430
162,1.0420
163,1.0400
164,1.0390
165,1.0370
166,1.0370
167,1.0350
168,1.0340
169,1.0350
170,1.0350
171,1.0320
172,1.0310
173,1.0290
174,1.0230
175,1.0230
176,1.0210
177,1.0190
178,1.0190
179,1.0200
180,1.0210
181,1.0220
182,1.0220
183,1.0220
184,1.0230
185,1.0250
186,1.0250
187,1.0260
188,1.0270
189,1.0280
190,1.0280
191,1.0280
192,1.0280
193,1.0280
194,1.0280
195,1.0280
196,1.0260
197,1.0260
198,1.0260
199,1.0250
200,1.0260
201,1.0260
202,1.0260
203,1.0270
204,1.0270
205,1.0260
206,1.0260
207,1.0250
208,1.0240
209,1.0250
210,1.0250
211,1.0250
212,1.0250
213,1.0250
214,1.0250
215,1.0250
216,1.0270
217,1.0270
218,1.0270
219,1.0280
220,1.0280
221,1.0270
222,1.0270
223,1.0280
224,1.0270
225,1.0270
226,1.0280
227,1.0270
228,1.0270
229,1.0250
230,1.0250
231,1.0270
232,1.0270
233,1.0280
234,1.0290
235,1.0260
236,1.0280
237,1.0280
238,1.0280
239,1.0300
240,1.0320
241,1.0320
242,1.0310
243,1.0310
244,1.0280
245,1.0310
246,1.0360
247,1.0380
248,1.0390
249,1.0400
250,1.0400
251,1.0400
252,1.0410
253,1.0380
254,1.0360
255,1.0350
256,1.0340
257,1.0350
258,1.0350
259,1.0320
260,1.0330
261,1.0330
262,1.0330
263,1.0310
264,1.0300
265,1.0290
266,1.0300
267,1.0300
268,1.0290
269,1.0300
270,1.0290
271,1.0270
272,1.0280
273,1.0270
274,1.0260
275,1.0250
276,1.0240
277,1.0250
278,1.0250
279,1.0270
280,1.0320
281,1.0380
282,1.0500
283,1.0630
284,1.0710
285,1.0770
286,1.0770
287,1.0780
288,1.0780
289,1.0780
290,1.0780
291,1.0780
292,1.0780
293,1.0790
294,1.0790
295,1.0790
296,1.0790
297,1.0800
298,1.0800
299,1.0800
300,1.0800
301,1.0800
302,1.0800
303,1.0800
304,1.0800
305,1.0800
306,1.0800
307,1.0800
308,1.0800
309,1.0800
310,1.0800
311,1.0800
312,1.0800
313,1.0800
314,1.0800
315,1.0800
316,1.0800
317,1.0800
318,1.0800
319,1.0800
320,1.0800
321,1.0800
322,1.0790
323,1.0790
324,1.0790
325,1.0790
326,1.0790
327,1.0790
328,1.0790
329,1.0790
330,1.0790
331,1.0790
332,1.0790
333,1.0790
334,1.0790
335,1.0790
336,1.0790
337,1.0790
338,1.0790
339,1.0790
340,1.0800
341,1.0800
342,1.0800
343,1.0800
344,1.0800
345,1.0800
346,1.0800
347,1.0800
348,1.0800
349,1.0800
350,1.0800
351,1.0800
352,1.0800
353,1.0800
354,1.0800
355,1.0800
356,1.0800
357,1.0800
358,1.0800
359,1.0800
360,1.0800
361,1.0800
362,1.0800
363,1.0800
364,1.0800
365,1.0800
366,1.0800
367,1.0800
368,1.0800
369,1.0800
370,1.0800
371,1.0810
372,1.0810
373,1.0810
374,1.0810
375,1.0810
376,1.0810
377,1.0810
378,1.0800
379,1.0800
380,1.0800
381,1.0800
382,1.0800
383,1.0800
384,1.0800
385,1.0790
386,1.1580
387,1.1570
388,1.1560
389,1.1560
390,1.1550
391,1.1530
392,1.1520
393,1.1520
394,1.1510
395,1.1510
