data,银河主题策略混合型证券投资基金(519679)
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0020
6,1.0020
7,1.0020
8,1.0020
9,1.0020
10,1.0020
11,1.0030
12,1.0030
13,1.0040
14,1.0030
15,1.0030
16,1.0030
17,1.0020
18,1.0000
19,1.0010
20,1.0000
21,1.0000
22,0.9970
23,0.9970
24,0.9950
25,0.9970
26,0.9990
27,0.9980
28,0.9990
29,0.9950
30,0.9890
31,0.9860
32,0.9860
33,0.9920
34,0.9880
35,0.9920
36,1.0040
37,1.0070
38,1.0150
39,1.0230
40,1.0160
41,1.0170
42,1.0110
43,1.0400
44,1.0420
45,1.0380
46,1.0440
47,1.0530
48,1.0570
49,1.0620
50,1.0810
51,1.0890
52,1.0870
53,1.1020
54,1.1100
55,1.1000
56,1.1040
57,1.1190
58,1.1220
59,1.1230
60,1.0980
61,1.1320
62,1.1460
63,1.1340
64,1.1300
65,1.1560
66,1.1670
67,1.1580
68,1.1580
69,1.1360
70,1.1390
71,1.1690
72,1.1830
73,1.1920
74,1.1770
75,1.1890
76,1.1920
77,1.2110
78,1.2120
79,1.2160
80,1.2360
81,1.2380
82,1.2030
83,1.2270
84,1.2040
85,1.2000
86,1.2160
87,1.2020
88,1.2030
89,1.2340
90,1.2530
91,1.2070
92,1.2330
93,1.2450
94,1.2160
95,1.1970
96,1.1990
97,1.1830
98,1.1760
99,1.1860
100,1.1910
101,1.1880
102,1.1930
103,1.2190
104,1.2350
105,1.2510
106,1.2620
107,1.2620
108,1.2700
109,1.2470
110,1.2480
111,1.2660
112,1.2290
113,1.2160
114,1.2260
115,1.2170
116,1.2070
117,1.2110
118,1.2080
119,1.1950
120,1.2040
121,1.2320
122,1.2390
123,1.2610
124,1.2710
125,1.2440
126,1.2810
127,1.2450
128,1.2330
129,1.2590
130,1.2800
131,1.3080
132,1.3110
133,1.3260
134,1.3400
135,1.3390
136,1.3490
137,1.3250
138,1.3580
139,1.3940
140,1.4220
141,1.4480
142,1.4690
143,1.4460
144,1.4570
145,1.4880
146,1.5110
147,1.4950
148,1.4970
149,1.5090
150,1.5060
151,1.4610
152,1.4380
153,1.4490
154,1.4300
155,1.4240
156,1.4100
157,1.4510
158,1.4510
159,1.4620
160,1.4450
161,1.3980
162,1.3960
163,1.3420
164,1.3500
165,1.4210
166,1.4040
167,1.4000
168,1.4000
169,1.4680
170,1.4960
171,1.5100
172,1.4960
173,1.4690
174,1.4270
175,1.4500
176,1.4920
177,1.5130
178,1.5400
179,1.6000
180,1.5970
181,1.5950
182,1.5900
183,1.5950
184,1.6530
185,1.6870
186,1.7100
187,1.6530
188,1.6780
189,1.6480
190,1.6250
191,1.6480
192,1.7140
193,1.7350
194,1.7500
195,1.7600
196,1.7170
197,1.7210
198,1.7150
199,1.7050
200,1.7060
201,1.7190
202,1.6990
203,1.6520
204,1.6940
205,1.6950
206,1.6980
207,1.7160
208,1.7470
209,1.7690
210,1.7730
211,1.7410
212,1.7300
213,1.6700
214,1.7110
215,1.7510
216,1.7460
217,1.7830
218,1.7970
219,1.7780
220,1.7620
221,1.7240
222,1.7240
223,1.7590
224,1.7910
225,1.7890
226,1.8060
227,1.8570
228,1.8820
229,1.8720
230,1.8530
231,1.8800
232,1.9070
233,1.9390
234,1.9650
235,1.9310
236,1.9420
237,1.9690
238,1.9600
239,1.9170
