data,银河现代服务主题灵活配置混合型证券投资基金(519655)
1,1.0000
2,1.0000
3,1.0010
4,1.0010
5,1.0010
6,1.0010
7,1.0020
8,1.0020
9,1.0020
10,1.0020
11,0.9880
12,1.0050
13,1.0050
14,1.0050
15,1.0050
16,1.0050
17,1.0410
18,1.0410
19,1.0410
20,1.0410
21,1.0410
22,1.1070
23,1.1070
24,1.1070
25,1.1070
26,1.1070
27,1.1280
28,1.1280
29,1.1280
30,1.1280
31,1.1280
32,1.1670
33,1.1670
34,1.1670
35,1.1670
36,1.1670
37,1.2030
38,1.2030
39,1.2030
40,1.2030
41,1.2030
42,1.0700
43,1.0720
44,1.0720
45,1.0350
46,0.9670
47,0.9120
48,0.9470
49,0.9100
50,0.8580
51,0.8210
52,0.7930
53,0.7630
54,0.7370
55,0.7510
56,0.7790
57,0.8260
58,0.8540
59,0.8190
60,0.8350
61,0.8820
62,0.9030
63,0.9260
64,0.9380
65,0.9650
66,0.9640
67,0.9030
68,0.8800
69,0.9070
70,0.8810
71,0.8640
72,0.8230
73,0.8570
74,0.8530
75,0.8540
76,0.8750
77,0.9070
78,0.9160
79,0.8950
80,0.9110
81,0.9130
82,0.9090
83,0.8590
84,0.8750
85,0.8490
86,0.8160
87,0.7660
88,0.7290
89,0.7240
90,0.7490
91,0.7790
92,0.7490
93,0.7160
94,0.7050
95,0.7120
96,0.7390
97,0.7620
98,0.7560
99,0.7580
100,0.7240
101,0.6980
102,0.7350
103,0.7310
104,0.7440
105,0.7710
106,0.7760
107,0.7750
108,0.7780
109,0.7580
110,0.7770
111,0.7760
112,0.7790
113,0.8000
114,0.8060
115,0.8280
116,0.8330
117,0.8240
118,0.8490
119,0.8510
120,0.8550
121,0.8710
122,0.8230
123,0.8490
124,0.8710
125,0.8720
126,0.8790
127,0.8550
128,0.8600
129,0.8610
130,0.8540
131,0.8590
132,0.8890
133,0.8850
134,0.9060
135,0.9190
136,0.9170
137,0.9290
138,0.9340
139,0.9080
140,0.9220
141,0.9120
142,0.9010
143,0.9190
144,0.9290
145,0.9250
146,0.9310
147,0.9500
148,0.9430
149,0.8970
150,0.9000
151,0.9050
152,0.8910
153,0.9090
154,0.9120
155,0.9230
156,0.9110
157,0.9050
158,0.9040
159,0.8940
160,0.9040
161,0.9150
162,0.9220
163,0.9390
164,0.9340
165,0.9410
166,0.9460
167,0.9350
168,0.9360
169,0.9440
170,0.9350
171,0.9490
172,0.9550
173,0.9430
174,0.8790
175,0.8640
176,0.8810
177,0.8240
178,0.8310
179,0.7900
180,0.7840
181,0.7620
182,0.7780
183,0.7630
184,0.7740
185,0.7930
186,0.7860
187,0.7640
188,0.7680
189,0.7710
190,0.7320
191,0.7300
192,0.7160
193,0.7350
194,0.7330
195,0.7490
196,0.7510
197,0.7580
198,0.7550
199,0.7550
200,0.7750
201,0.7840
202,0.7850
203,0.7840
204,0.7940
205,0.7890
206,0.7880
207,0.7460
208,0.7490
209,0.7280
210,0.7370
211,0.7650
212,0.7630
213,0.7530
214,0.7610
215,0.7650
216,0.7580
217,0.7520
218,0.7580
219,0.7730
220,0.7760
221,0.7720
222,0.7860
223,0.7960
224,0.8070
225,0.8040
226,0.8090
227,0.8040
228,0.8110
229,0.8080
230,0.7960
231,0.8160
232,0.8210
233,0.8210
234,0.8420
235,0.8410
236,0.8410
237,0.8410
238,0.8540
